id,seed,type,generation_method,variables,question,answer,options,options_text,correct_option,options_types_str
q1_1,221,Hydrology,Original,"{'f0': 8.0, 'fc': 0.5, 'k': 0.4, 't1': 2.0, 't2': 5.0}","The initial rate of infiltration of a watershed is estimated as 8.0 cm/hr, the final capacity is 0.5 cm/hr, and the time constant, k is 0.4 hr^-1. Assume rainfall intensity is always excessive, use Horton's equation to find

(1) The infiltration capacity at t=2.0 hr and t=5.0 hr;

(2) The total volume of infiltration between t=2.0 hr and t=5.0 hr.
        ","(1): 3.87 cm/hr,
1.515 cm/hr,
(2): 7.387 cm","[""(1): 3.32 cm/hr,\n2.524 cm/hr,\n(2): 4.354 cm"", ""(1): 3.87 cm/hr,\n1.515 cm/hr,\n(2): 7.387 cm"", ""(1): 4.821 cm/hr,\n4.55 cm/hr,\n(2): 4.36 cm"", ""(1): 5.0 cm/hr,\n4.916 cm/hr,\n(2): -7.489 cm""]","A. (1): 3.32 cm/hr,
2.524 cm/hr,
(2): 4.354 cm
B. (1): 3.87 cm/hr,
1.515 cm/hr,
(2): 7.387 cm
C. (1): 4.821 cm/hr,
4.55 cm/hr,
(2): 4.36 cm
D. (1): 5.0 cm/hr,
4.916 cm/hr,
(2): -7.489 cm
",B,correct_answer: B | diffused_answer: D | confused_answer: A | random_answer: C
q1_2,1144,Hydrology,Symbolic Extension,"{'f0': 13.31111227867, 'fc': 3.3409394555600005, 'k': 0.08333630482, 't1': 7.9383090990700005, 't2': 8.913661668300001}","The initial rate of infiltration of a watershed is estimated as 13.31111227867 cm/hr, the final capacity is 3.3409394555600005 cm/hr, and the time constant, k is 0.08333630482 hr^-1. Assume rainfall intensity is always excessive, use Horton's equation to find

(1) The infiltration capacity at t=7.9383090990700005 hr and t=8.913661668300001 hr;

(2) The total volume of infiltration between t=7.9383090990700005 hr and t=8.913661668300001 hr.
        ","(1): 8.486 cm/hr,
8.084 cm/hr,
(2): 8.078 cm","[""(1): 8.486 cm/hr,\n8.084 cm/hr,\n(2): 8.078 cm"", ""(1): 9.301 cm/hr,\n10.712 cm/hr,\n(2): -108.235 cm"", ""(1): 0.083 cm/hr,\n0.083 cm/hr,\n(2): 0.081 cm"", ""(1): 5.432 cm/hr,\n1.204 cm/hr,\n(2): 12.135 cm""]","A. (1): 8.486 cm/hr,
8.084 cm/hr,
(2): 8.078 cm
B. (1): 9.301 cm/hr,
10.712 cm/hr,
(2): -108.235 cm
C. (1): 0.083 cm/hr,
0.083 cm/hr,
(2): 0.081 cm
D. (1): 5.432 cm/hr,
1.204 cm/hr,
(2): 12.135 cm
",A,correct_answer: A | diffused_answer: C | confused_answer: B | random_answer: D
q1_3,1170,Hydrology,Symbolic Extension,"{'f0': 9.546542175350002, 'fc': 3.5613350173400002, 'k': 0.501204418647, 't1': 6.88852514882, 't2': 7.362476711130001}","The initial rate of infiltration of a watershed is estimated as 9.546542175350002 cm/hr, the final capacity is 3.5613350173400002 cm/hr, and the time constant, k is 0.501204418647 hr^-1. Assume rainfall intensity is always excessive, use Horton's equation to find

(1) The infiltration capacity at t=6.88852514882 hr and t=7.362476711130001 hr;

(2) The total volume of infiltration between t=6.88852514882 hr and t=7.362476711130001 hr.
        ","(1): 3.751 cm/hr,
3.711 cm/hr,
(2): 1.768 cm","[""(1): 0.501 cm/hr,\n0.501 cm/hr,\n(2): 3.0 cm"", ""(1): 0.934 cm/hr,\n0.933 cm/hr,\n(2): 0.044 cm"", ""(1): 1.813 cm/hr,\n1.54 cm/hr,\n(2): 1.112 cm"", ""(1): 3.751 cm/hr,\n3.711 cm/hr,\n(2): 1.768 cm""]","A. (1): 0.501 cm/hr,
0.501 cm/hr,
(2): 3.0 cm
B. (1): 0.934 cm/hr,
0.933 cm/hr,
(2): 0.044 cm
C. (1): 1.813 cm/hr,
1.54 cm/hr,
(2): 1.112 cm
D. (1): 3.751 cm/hr,
3.711 cm/hr,
(2): 1.768 cm
",D,correct_answer: D | diffused_answer: A | confused_answer: B | random_answer: C
q1_4,1198,Hydrology,Symbolic Extension,"{'f0': 9.16981888747, 'fc': 2.0961278681200004, 'k': 0.100607121206, 't1': 4.522264644960001, 't2': 5.5193912635}","The initial rate of infiltration of a watershed is estimated as 9.16981888747 cm/hr, the final capacity is 2.0961278681200004 cm/hr, and the time constant, k is 0.100607121206 hr^-1. Assume rainfall intensity is always excessive, use Horton's equation to find

(1) The infiltration capacity at t=4.522264644960001 hr and t=5.5193912635 hr;

(2) The total volume of infiltration between t=4.522264644960001 hr and t=5.5193912635 hr.
        ","(1): 6.584 cm/hr,
6.156 cm/hr,
(2): 6.348 cm","[""(1): 6.584 cm/hr,\n6.156 cm/hr,\n(2): 6.348 cm"", ""(1): 2.096 cm/hr,\n3.457 cm/hr,\n(2): -9.417 cm"", ""(1): 3.709 cm/hr,\n3.684 cm/hr,\n(2): 0.556 cm"", ""(1): 9.493 cm/hr,\n8.787 cm/hr,\n(2): 9.108 cm""]","A. (1): 6.584 cm/hr,
6.156 cm/hr,
(2): 6.348 cm
B. (1): 2.096 cm/hr,
3.457 cm/hr,
(2): -9.417 cm
C. (1): 3.709 cm/hr,
3.684 cm/hr,
(2): 0.556 cm
D. (1): 9.493 cm/hr,
8.787 cm/hr,
(2): 9.108 cm
",A,correct_answer: A | diffused_answer: B | confused_answer: D | random_answer: C
q1_5,1228,Hydrology,Symbolic Extension,"{'f0': 7.191963639550001, 'fc': 2.0830926235500002, 'k': 0.784885280523, 't1': 3.8535405988900004, 't2': 4.8413918955}","The initial rate of infiltration of a watershed is estimated as 7.191963639550001 cm/hr, the final capacity is 2.0830926235500002 cm/hr, and the time constant, k is 0.784885280523 hr^-1. Assume rainfall intensity is always excessive, use Horton's equation to find

(1) The infiltration capacity at t=3.8535405988900004 hr and t=4.8413918955 hr;

(2) The total volume of infiltration between t=3.8535405988900004 hr and t=4.8413918955 hr.
        ","(1): 2.331 cm/hr,
2.197 cm/hr,
(2): 2.228 cm","[""(1): 0.704 cm/hr,\n0.7 cm/hr,\n(2): 0.069 cm"", ""(1): 4.589 cm/hr,\n4.03 cm/hr,\n(2): 7.376 cm"", ""(1): 2.123 cm/hr,\n2.083 cm/hr,\n(2): 13.355 cm"", ""(1): 2.331 cm/hr,\n2.197 cm/hr,\n(2): 2.228 cm""]","A. (1): 0.704 cm/hr,
0.7 cm/hr,
(2): 0.069 cm
B. (1): 4.589 cm/hr,
4.03 cm/hr,
(2): 7.376 cm
C. (1): 2.123 cm/hr,
2.083 cm/hr,
(2): 13.355 cm
D. (1): 2.331 cm/hr,
2.197 cm/hr,
(2): 2.228 cm
",D,correct_answer: D | diffused_answer: C | confused_answer: A | random_answer: B
q1_6,1260,Hydrology,Symbolic Extension,"{'f0': 1.3944749233400002, 'fc': 1.9551232972500001, 'k': 0.916066766493, 't1': 6.370176304800001, 't2': 7.739297753520001}","The initial rate of infiltration of a watershed is estimated as 1.3944749233400002 cm/hr, the final capacity is 1.9551232972500001 cm/hr, and the time constant, k is 0.916066766493 hr^-1. Assume rainfall intensity is always excessive, use Horton's equation to find

(1) The infiltration capacity at t=6.370176304800001 hr and t=7.739297753520001 hr;

(2) The total volume of infiltration between t=6.370176304800001 hr and t=7.739297753520001 hr.
        ","(1): 1.953 cm/hr,
1.955 cm/hr,
(2): 2.676 cm","[""(1): 0.143 cm/hr,\n0.143 cm/hr,\n(2): 0.02 cm"", ""(1): 0.916 cm/hr,\n0.917 cm/hr,\n(2): -0.514 cm"", ""(1): 4.17 cm/hr,\n1.733 cm/hr,\n(2): 7.358 cm"", ""(1): 1.953 cm/hr,\n1.955 cm/hr,\n(2): 2.676 cm""]","A. (1): 0.143 cm/hr,
0.143 cm/hr,
(2): 0.02 cm
B. (1): 0.916 cm/hr,
0.917 cm/hr,
(2): -0.514 cm
C. (1): 4.17 cm/hr,
1.733 cm/hr,
(2): 7.358 cm
D. (1): 1.953 cm/hr,
1.955 cm/hr,
(2): 2.676 cm
",D,correct_answer: D | diffused_answer: B | confused_answer: A | random_answer: C
q1_7,1294,Hydrology,Symbolic Extension,"{'f0': 13.000363986200002, 'fc': 0.28176251695000004, 'k': 0.992571196943, 't1': 2.3857321737, 't2': 7.40036495172}","The initial rate of infiltration of a watershed is estimated as 13.000363986200002 cm/hr, the final capacity is 0.28176251695000004 cm/hr, and the time constant, k is 0.992571196943 hr^-1. Assume rainfall intensity is always excessive, use Horton's equation to find

(1) The infiltration capacity at t=2.3857321737 hr and t=7.40036495172 hr;

(2) The total volume of infiltration between t=2.3857321737 hr and t=7.40036495172 hr.
        ","(1): 1.473 cm/hr,
0.29 cm/hr,
(2): 2.605 cm","[""(1): 7.272 cm/hr,\n7.4 cm/hr,\n(2): 5.25 cm"", ""(1): 1.473 cm/hr,\n0.29 cm/hr,\n(2): 2.605 cm"", ""(1): 3.098 cm/hr,\n3.522 cm/hr,\n(2): 20.439 cm"", ""(1): 0.783 cm/hr,\n0.431 cm/hr,\n(2): 1.97 cm""]","A. (1): 7.272 cm/hr,
7.4 cm/hr,
(2): 5.25 cm
B. (1): 1.473 cm/hr,
0.29 cm/hr,
(2): 2.605 cm
C. (1): 3.098 cm/hr,
3.522 cm/hr,
(2): 20.439 cm
D. (1): 0.783 cm/hr,
0.431 cm/hr,
(2): 1.97 cm
",B,correct_answer: B | diffused_answer: A | confused_answer: D | random_answer: C
q1_8,1330,Hydrology,Symbolic Extension,"{'f0': 15.640594345150001, 'fc': 0.16468268262000002, 'k': 0.455809502353, 't1': 0.8077026006200001, 't2': 1.6083947622}","The initial rate of infiltration of a watershed is estimated as 15.640594345150001 cm/hr, the final capacity is 0.16468268262000002 cm/hr, and the time constant, k is 0.455809502353 hr^-1. Assume rainfall intensity is always excessive, use Horton's equation to find

(1) The infiltration capacity at t=0.8077026006200001 hr and t=1.6083947622 hr;

(2) The total volume of infiltration between t=0.8077026006200001 hr and t=1.6083947622 hr.
        ","(1): 10.874 cm/hr,
7.599 cm/hr,
(2): 7.316 cm","[""(1): 1.547 cm/hr,\n1.608 cm/hr,\n(2): 0.464 cm"", ""(1): 5.256 cm/hr,\n5.108 cm/hr,\n(2): 15.448 cm"", ""(1): 10.874 cm/hr,\n7.599 cm/hr,\n(2): 7.316 cm"", ""(1): 10.386 cm/hr,\n4.707 cm/hr,\n(2): 8.602 cm""]","A. (1): 1.547 cm/hr,
1.608 cm/hr,
(2): 0.464 cm
B. (1): 5.256 cm/hr,
5.108 cm/hr,
(2): 15.448 cm
C. (1): 10.874 cm/hr,
7.599 cm/hr,
(2): 7.316 cm
D. (1): 10.386 cm/hr,
4.707 cm/hr,
(2): 8.602 cm
",C,correct_answer: C | diffused_answer: A | confused_answer: D | random_answer: B
q1_9,1368,Hydrology,Symbolic Extension,"{'f0': 4.53316917673, 'fc': 1.45679937688, 'k': 0.250234320843, 't1': 7.332412316940001, 't2': 8.74217399355}","The initial rate of infiltration of a watershed is estimated as 4.53316917673 cm/hr, the final capacity is 1.45679937688 cm/hr, and the time constant, k is 0.250234320843 hr^-1. Assume rainfall intensity is always excessive, use Horton's equation to find

(1) The infiltration capacity at t=7.332412316940001 hr and t=8.74217399355 hr;

(2) The total volume of infiltration between t=7.332412316940001 hr and t=8.74217399355 hr.
        ","(1): 1.948 cm/hr,
1.802 cm/hr,
(2): 2.637 cm","[""(1): 5.008 cm/hr,\n4.903 cm/hr,\n(2): 14.146 cm"", ""(1): 1.701 cm/hr,\n1.619 cm/hr,\n(2): 1.169 cm"", ""(1): 1.948 cm/hr,\n1.802 cm/hr,\n(2): 2.637 cm"", ""(1): 4.847 cm/hr,\n6.477 cm/hr,\n(2): -39.54 cm""]","A. (1): 5.008 cm/hr,
4.903 cm/hr,
(2): 14.146 cm
B. (1): 1.701 cm/hr,
1.619 cm/hr,
(2): 1.169 cm
C. (1): 1.948 cm/hr,
1.802 cm/hr,
(2): 2.637 cm
D. (1): 4.847 cm/hr,
6.477 cm/hr,
(2): -39.54 cm
",C,correct_answer: C | diffused_answer: D | confused_answer: B | random_answer: A
q1_10,13108,Hydrology,Symbolic Extension,"{'f0': 13.207333774520002, 'fc': 4.896332136310001, 'k': 0.509554847406, 't1': 3.5890965281400002, 't2': 6.918524433700001}","The initial rate of infiltration of a watershed is estimated as 13.207333774520002 cm/hr, the final capacity is 4.896332136310001 cm/hr, and the time constant, k is 0.509554847406 hr^-1. Assume rainfall intensity is always excessive, use Horton's equation to find

(1) The infiltration capacity at t=3.5890965281400002 hr and t=6.918524433700001 hr;

(2) The total volume of infiltration between t=3.5890965281400002 hr and t=6.918524433700001 hr.
        ","(1): 6.231 cm/hr,
5.141 cm/hr,
(2): 18.441 cm","[""(1): 11.873 cm/hr,\n12.963 cm/hr,\n(2): 41.834 cm"", ""(1): 6.231 cm/hr,\n5.141 cm/hr,\n(2): 18.441 cm"", ""(1): 12.396 cm/hr,\n12.241 cm/hr,\n(2): 168.092 cm"", ""(1): 3.79 cm/hr,\n2.556 cm/hr,\n(2): 16.397 cm""]","A. (1): 11.873 cm/hr,
12.963 cm/hr,
(2): 41.834 cm
B. (1): 6.231 cm/hr,
5.141 cm/hr,
(2): 18.441 cm
C. (1): 12.396 cm/hr,
12.241 cm/hr,
(2): 168.092 cm
D. (1): 3.79 cm/hr,
2.556 cm/hr,
(2): 16.397 cm
",B,correct_answer: B | diffused_answer: A | confused_answer: C | random_answer: D
