Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct
1,98.0,49/50,0,1
2,92.0,46/50,0,1
3,94.0,47/50,0,1
4,76.0,38/50,3,1
6,100.0,50/50,0,1
8,96.0,48/50,1,1
9,28.0,14/50,0,0
10,54.0,27/50,0,1
11,72.0,36/50,1,1
12,98.0,49/50,0,1
13,70.0,35/50,0,1
14,24.0,12/50,1,0
15,56.0,28/50,3,0
16,100.0,50/50,0,1
17,96.0,48/50,1,1
18,34.0,17/50,0,0
19,74.0,37/50,0,1
20,80.0,40/50,0,1
21,22.0,11/50,0,0
22,24.0,12/50,0,0
23,94.0,47/50,0,1
24,34.0,17/50,1,1
25,80.0,40/50,0,1
26,94.0,47/50,0,1
27,66.0,33/50,0,1
28,98.0,49/50,0,1
29,86.0,43/50,0,1
30,20.0,10/50,2,0
31,94.0,47/50,0,1
32,98.0,49/50,0,1
34,50.0,25/50,1,1
35,58.0,29/50,0,1
36,94.0,47/50,0,1
37,44.0,22/50,0,1
38,76.0,38/50,0,1
39,46.0,23/50,0,1
40,60.0,30/50,0,0
41,76.0,38/50,0,0
42,84.0,42/50,0,1
45,34.0,17/50,4,0
46,78.0,39/50,2,0
47,90.0,45/50,0,1
48,74.0,37/50,0,1
49,60.0,30/50,0,1
50,84.0,42/50,0,1
51,48.0,24/50,0,0
52,58.0,29/50,0,0
55,30.0,15/50,0,1
56,32.0,16/50,0,1
59,82.0,41/50,1,0
60,32.0,16/50,0,0
61,22.0,11/50,2,0
63,30.0,15/50,0,0
64,42.0,21/50,0,1
65,60.0,30/50,0,1
66,96.0,48/50,0,1
67,22.0,11/50,6,1
69,58.0,29/50,0,1
70,32.0,16/50,0,1
71,70.0,35/50,1,1
72,60.0,30/50,0,1
74,30.0,15/50,2,0
75,46.0,23/50,6,0
76,52.0,26/50,0,1
77,44.0,22/50,0,0
79,88.0,44/50,0,1
80,38.0,19/50,5,0
