instance,correct_rate,no_answer_count,total_questions,correct_count,correct_over_total
1,68.66,1,67,46,46/67
10,61.19,1,67,41,41/67
11,62.69,0,67,42,42/67
12,67.16,0,67,45,45/67
13,62.69,0,67,42,42/67
14,53.73,0,67,36,36/67
15,61.19,3,67,41,41/67
16,62.69,1,67,42,42/67
17,67.16,0,67,45,45/67
18,61.19,0,67,41,41/67
19,68.66,0,67,46,46/67
2,70.15,1,67,47,47/67
20,68.66,1,67,46,46/67
21,65.67,2,67,44,44/67
22,67.16,1,67,45,45/67
23,64.18,1,67,43,43/67
24,65.67,0,67,44,44/67
25,58.21,0,67,39,39/67
26,61.19,0,67,41,41/67
27,65.67,1,67,44,44/67
28,64.18,0,67,43,43/67
29,55.22,0,67,37,37/67
3,61.19,2,67,41,41/67
30,61.19,1,67,41,41/67
31,58.21,1,67,39,39/67
32,73.13,1,67,49,49/67
33,61.19,1,67,41,41/67
34,59.7,2,67,40,40/67
35,58.21,2,67,39,39/67
36,62.69,2,67,42,42/67
37,67.16,2,67,45,45/67
38,64.18,0,67,43,43/67
39,62.69,1,67,42,42/67
4,56.72,0,67,38,38/67
40,67.16,1,67,45,45/67
41,67.16,0,67,45,45/67
42,62.69,1,67,42,42/67
43,62.69,2,67,42,42/67
44,62.69,4,67,42,42/67
45,67.16,0,67,45,45/67
46,62.69,0,67,42,42/67
47,61.19,2,67,41,41/67
48,58.21,1,67,39,39/67
49,62.69,1,67,42,42/67
5,61.19,0,67,41,41/67
50,56.72,1,67,38,38/67
6,62.69,1,67,42,42/67
7,67.16,1,67,45,45/67
8,65.67,0,67,44,44/67
9,61.19,0,67,41,41/67
