Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,50/50,0,1,0
2,92.0,46/50,0,1,0
3,82.0,41/50,0,1,0
4,84.0,42/50,0,1,0
6,98.0,49/50,0,1,0
8,92.0,46/50,0,1,0
9,32.0,16/50,0,0,0
10,56.0,28/50,0,1,0
11,72.0,36/50,1,1,0
12,98.0,49/50,0,1,0
13,48.0,24/50,0,1,0
14,34.0,17/50,1,0,0
15,58.0,29/50,0,0,0
16,100.0,50/50,0,1,0
17,98.0,49/50,0,1,0
18,42.0,21/50,0,1,0
19,82.0,41/50,0,1,0
20,82.0,41/50,0,1,0
21,14.0,7/50,0,0,0
22,32.0,16/50,1,1,0
23,96.0,48/50,0,1,0
24,18.0,9/50,0,0,0
25,80.0,40/50,0,1,0
26,96.0,48/50,0,1,0
27,66.0,33/50,0,1,0
28,90.0,45/50,0,1,0
29,86.0,43/50,0,1,0
30,16.0,8/50,1,0,0
31,88.0,44/50,0,1,0
32,96.0,48/50,0,1,0
34,44.0,22/50,0,0,0
35,68.0,34/50,1,1,0
36,96.0,48/50,0,1,0
37,50.0,25/50,0,1,0
38,84.0,42/50,0,1,0
39,44.0,22/50,0,0,0
40,52.0,26/50,0,1,0
41,82.0,41/50,0,1,0
42,84.0,42/50,0,1,0
45,36.0,18/50,3,1,0
46,76.0,38/50,2,1,0
47,92.0,46/50,0,1,0
48,68.0,34/50,0,0,0
49,54.0,27/50,0,1,0
50,84.0,42/50,0,1,0
51,50.0,25/50,0,0,0
52,64.0,32/50,0,0,0
55,40.0,20/50,1,1,0
56,36.0,18/50,0,0,0
59,80.0,40/50,0,1,0
60,20.0,10/50,1,1,0
61,24.0,12/50,0,0,0
63,28.0,14/50,0,0,0
64,52.0,26/50,0,1,0
65,68.0,34/50,0,1,0
66,100.0,50/50,0,1,0
67,8.0,4/50,2,0,0
69,58.0,29/50,0,1,0
70,34.0,17/50,0,0,0
71,64.0,32/50,0,1,0
72,64.0,32/50,1,1,0
74,18.0,9/50,0,0,0
75,42.0,21/50,0,0,0
76,54.0,27/50,2,1,0
77,44.0,22/50,0,0,0
79,76.0,38/50,0,1,0
80,38.0,19/50,3,0,0
