instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,70.15,1,67,47,0,47/67,59.46,78.57,85.71,100.0,75.0
10,65.67,1,67,44,0,44/67,59.46,64.29,71.43,100.0,75.0
11,61.19,1,67,41,0,41/67,54.05,64.29,71.43,80.0,75.0
12,61.19,2,67,41,0,41/67,56.76,64.29,42.86,100.0,75.0
13,61.19,0,67,41,0,41/67,64.86,50.0,71.43,60.0,50.0
14,55.22,0,67,37,0,37/67,45.95,64.29,57.14,100.0,50.0
15,67.16,1,67,45,0,45/67,59.46,78.57,71.43,100.0,50.0
16,64.18,0,67,43,0,43/67,56.76,78.57,57.14,100.0,50.0
17,71.64,0,67,48,0,48/67,59.46,78.57,100.0,100.0,75.0
18,58.21,0,67,39,0,39/67,43.24,64.29,85.71,100.0,75.0
19,62.69,0,67,42,0,42/67,48.65,71.43,71.43,100.0,100.0
2,62.69,0,67,42,0,42/67,56.76,57.14,71.43,100.0,75.0
20,65.67,0,67,44,0,44/67,56.76,78.57,71.43,80.0,75.0
21,56.72,0,67,38,0,38/67,48.65,85.71,57.14,60.0,25.0
22,68.66,0,67,46,0,46/67,67.57,64.29,57.14,100.0,75.0
23,68.66,1,67,46,0,46/67,56.76,85.71,71.43,100.0,75.0
24,62.69,0,67,42,0,42/67,56.76,71.43,57.14,80.0,75.0
25,59.7,0,67,40,0,40/67,54.05,57.14,71.43,80.0,75.0
26,56.72,0,67,38,0,38/67,51.35,42.86,57.14,100.0,100.0
27,64.18,1,67,43,0,43/67,54.05,71.43,100.0,80.0,50.0
28,65.67,0,67,44,0,44/67,56.76,85.71,57.14,80.0,75.0
29,59.7,1,67,40,0,40/67,59.46,64.29,42.86,100.0,25.0
3,52.24,1,67,35,0,35/67,51.35,57.14,28.57,100.0,25.0
30,62.69,0,67,42,0,42/67,59.46,71.43,42.86,80.0,75.0
31,61.19,0,67,41,0,41/67,56.76,50.0,71.43,100.0,75.0
32,52.24,1,67,35,0,35/67,40.54,64.29,71.43,80.0,50.0
33,59.7,0,67,40,0,40/67,59.46,50.0,57.14,80.0,75.0
34,62.69,0,67,42,0,42/67,56.76,71.43,71.43,100.0,25.0
35,59.7,0,67,40,0,40/67,51.35,64.29,85.71,80.0,50.0
36,61.19,0,67,41,0,41/67,59.46,57.14,42.86,100.0,75.0
37,61.19,0,67,41,0,41/67,45.95,85.71,71.43,100.0,50.0
38,70.15,0,67,47,0,47/67,62.16,78.57,100.0,80.0,50.0
39,65.67,0,67,44,0,44/67,56.76,78.57,71.43,80.0,75.0
4,71.64,0,67,48,0,48/67,62.16,78.57,71.43,100.0,100.0
40,58.21,0,67,39,0,39/67,48.65,64.29,57.14,100.0,75.0
41,71.64,1,67,48,0,48/67,67.57,78.57,85.71,60.0,75.0
42,55.22,0,67,37,0,37/67,51.35,64.29,28.57,100.0,50.0
43,53.73,0,67,36,0,36/67,40.54,64.29,71.43,100.0,50.0
44,53.73,2,67,36,0,36/67,48.65,50.0,42.86,100.0,75.0
45,58.21,1,67,39,0,39/67,51.35,64.29,57.14,80.0,75.0
46,61.19,0,67,41,0,41/67,54.05,64.29,71.43,100.0,50.0
47,64.18,0,67,43,0,43/67,56.76,78.57,71.43,80.0,50.0
48,65.67,0,67,44,0,44/67,62.16,64.29,57.14,100.0,75.0
49,74.63,1,67,50,0,50/67,62.16,92.86,85.71,100.0,75.0
5,70.15,1,67,47,0,47/67,67.57,78.57,85.71,60.0,50.0
50,67.16,0,67,45,0,45/67,59.46,78.57,71.43,100.0,50.0
6,62.69,0,67,42,0,42/67,56.76,78.57,42.86,100.0,50.0
7,59.7,1,67,40,0,40/67,45.95,85.71,57.14,100.0,50.0
8,68.66,2,67,46,0,46/67,59.46,78.57,85.71,100.0,50.0
9,62.69,0,67,42,0,42/67,54.05,78.57,42.86,100.0,75.0
