instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total
1,70.15,1,67,47,0,47/67
10,65.67,1,67,44,0,44/67
11,61.19,1,67,41,0,41/67
12,61.19,2,67,41,0,41/67
13,61.19,0,67,41,0,41/67
14,55.22,1,67,37,0,37/67
15,67.16,1,67,45,0,45/67
16,64.18,1,67,43,0,43/67
17,71.64,0,67,48,0,48/67
18,58.21,0,67,39,0,39/67
19,62.69,0,67,42,0,42/67
2,62.69,0,67,42,0,42/67
20,65.67,0,67,44,0,44/67
21,56.72,1,67,38,0,38/67
22,68.66,0,67,46,0,46/67
23,68.66,1,67,46,0,46/67
24,62.69,0,67,42,0,42/67
25,59.7,0,67,40,0,40/67
26,56.72,0,67,38,0,38/67
27,64.18,1,67,43,0,43/67
28,65.67,0,67,44,0,44/67
29,59.7,2,67,40,0,40/67
3,50.75,2,67,34,0,34/67
30,62.69,0,67,42,0,42/67
31,61.19,0,67,41,0,41/67
32,52.24,1,67,35,0,35/67
33,59.7,0,67,40,0,40/67
34,61.19,1,67,41,0,41/67
35,59.7,1,67,40,0,40/67
36,61.19,0,67,41,0,41/67
37,61.19,0,67,41,0,41/67
38,70.15,0,67,47,0,47/67
39,65.67,0,67,44,0,44/67
4,71.64,0,67,48,0,48/67
40,58.21,1,67,39,0,39/67
41,71.64,1,67,48,0,48/67
42,55.22,1,67,37,0,37/67
43,53.73,0,67,36,0,36/67
44,53.73,2,67,36,0,36/67
45,58.21,1,67,39,0,39/67
46,61.19,0,67,41,0,41/67
47,64.18,0,67,43,0,43/67
48,65.67,0,67,44,0,44/67
49,74.63,1,67,50,0,50/67
5,70.15,2,67,47,0,47/67
50,67.16,0,67,45,0,45/67
6,62.69,0,67,42,0,42/67
7,59.7,1,67,40,0,40/67
8,68.66,2,67,46,0,46/67
9,62.69,0,67,42,0,42/67
