instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total
1,92.54,0,67,62,0,62/67
10,92.54,0,67,62,0,62/67
11,95.52,0,67,64,0,64/67
12,83.58,0,67,56,0,56/67
13,86.57,0,67,58,0,58/67
14,88.06,0,67,59,0,59/67
15,91.04,1,67,61,0,61/67
16,85.07,1,67,57,0,57/67
17,86.57,0,67,58,0,58/67
18,92.54,0,67,62,0,62/67
19,85.07,0,67,57,0,57/67
2,88.06,0,67,59,0,59/67
20,88.06,0,67,59,0,59/67
21,88.06,0,67,59,0,59/67
22,88.06,0,67,59,0,59/67
23,82.09,0,67,55,0,55/67
24,89.55,0,67,60,0,60/67
25,89.55,0,67,60,0,60/67
26,89.55,0,67,60,0,60/67
27,89.55,1,67,60,0,60/67
28,82.09,0,67,55,0,55/67
29,88.06,0,67,59,0,59/67
3,86.57,0,67,58,0,58/67
30,83.58,0,67,56,0,56/67
4,85.07,0,67,57,0,57/67
5,94.03,0,67,63,0,63/67
6,91.04,0,67,61,0,61/67
7,91.04,0,67,61,0,61/67
8,89.55,0,67,60,0,60/67
9,83.58,0,67,56,0,56/67
