Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,70.0,7/10,0,0,0
2,30.0,3/10,0,1,0
3,30.0,3/10,0,0,0
4,20.0,2/10,0,1,0
6,90.0,9/10,0,1,0
8,20.0,2/10,0,0,0
9,40.0,4/10,0,0,0
10,50.0,5/10,0,0,0
11,40.0,4/10,0,0,0
12,100.0,10/10,0,1,0
13,50.0,5/10,0,1,0
14,60.0,6/10,0,1,0
15,20.0,2/10,0,0,0
16,80.0,8/10,0,1,0
17,80.0,8/10,0,1,0
18,20.0,2/10,0,0,0
19,50.0,5/10,0,0,0
20,30.0,3/10,0,0,0
21,0.0,0/10,0,0,0
22,50.0,5/10,0,0,0
23,60.0,6/10,0,1,0
24,20.0,2/10,1,1,0
25,100.0,10/10,0,1,0
26,40.0,4/10,0,1,0
27,10.0,1/10,0,0,0
28,30.0,3/10,0,0,0
29,70.0,7/10,0,1,0
30,10.0,1/10,0,0,0
31,70.0,7/10,0,0,0
32,70.0,7/10,0,1,0
34,40.0,4/10,0,1,0
35,60.0,6/10,0,1,0
36,50.0,5/10,0,0,0
37,50.0,5/10,0,1,0
38,50.0,5/10,0,0,0
39,60.0,6/10,0,1,0
40,30.0,3/10,0,0,0
41,60.0,6/10,0,0,0
42,20.0,2/10,0,0,0
45,40.0,4/10,0,0,0
46,90.0,9/10,0,1,0
47,90.0,9/10,0,1,0
48,40.0,4/10,0,0,0
49,50.0,5/10,0,1,0
50,90.0,9/10,0,1,0
51,70.0,7/10,0,0,0
52,30.0,3/10,0,0,0
55,30.0,3/10,0,0,0
56,20.0,2/10,0,0,0
59,70.0,7/10,0,1,0
60,20.0,2/10,0,0,0
61,10.0,1/10,0,0,0
63,30.0,3/10,0,0,0
64,30.0,3/10,0,1,0
65,70.0,7/10,0,1,0
66,10.0,1/10,0,0,0
67,20.0,2/10,0,0,0
69,10.0,1/10,0,0,0
70,40.0,4/10,0,1,0
71,30.0,3/10,0,0,0
72,60.0,6/10,0,1,0
74,20.0,2/10,0,0,0
75,30.0,3/10,0,1,0
76,40.0,4/10,0,1,0
77,60.0,6/10,0,1,0
79,70.0,7/10,0,1,0
80,60.0,6/10,0,0,0
