instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,46.27,0,67,31,0,31/67,40.54,57.14,57.14,60.0,25.0
10,47.76,0,67,32,0,32/67,45.95,57.14,57.14,40.0,25.0
2,44.78,0,67,30,0,30/67,37.84,57.14,28.57,80.0,50.0
3,44.78,0,67,30,0,30/67,43.24,42.86,71.43,40.0,25.0
4,46.27,0,67,31,0,31/67,35.14,64.29,42.86,40.0,100.0
5,40.3,0,67,27,0,27/67,32.43,78.57,14.29,40.0,25.0
6,35.82,1,67,24,0,24/67,37.84,42.86,14.29,40.0,25.0
7,47.76,0,67,32,0,32/67,48.65,64.29,28.57,40.0,25.0
8,50.75,0,67,34,0,34/67,43.24,78.57,57.14,40.0,25.0
9,52.24,0,67,35,0,35/67,56.76,42.86,28.57,60.0,75.0
