Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,96.0,48/50,1,1,0
2,80.0,40/50,0,1,0
3,66.0,33/50,0,0,0
4,40.0,20/50,1,1,0
6,98.0,49/50,0,1,0
8,18.0,9/50,1,0,0
9,36.0,18/50,0,1,0
10,54.0,27/50,0,0,0
11,52.0,26/50,1,1,0
12,92.0,46/50,0,1,0
13,56.0,28/50,0,1,0
14,32.0,16/50,2,0,0
15,50.0,25/50,0,1,0
16,92.0,46/50,0,1,0
17,94.0,47/50,0,1,0
18,28.0,14/50,0,0,0
19,74.0,37/50,0,1,0
20,64.0,32/50,0,0,0
21,6.0,3/50,1,0,0
22,44.0,22/50,1,0,0
23,82.0,41/50,0,1,0
24,30.0,15/50,0,0,0
25,98.0,49/50,0,1,0
26,46.0,23/50,0,1,0
27,48.0,24/50,0,1,0
28,90.0,45/50,0,1,0
29,98.0,49/50,0,1,0
30,16.0,8/50,0,1,0
31,96.0,48/50,0,1,0
32,96.0,48/50,1,1,0
34,46.0,23/50,0,1,0
35,62.0,31/50,0,1,0
36,96.0,48/50,0,1,0
37,42.0,21/50,0,0,0
38,78.0,39/50,0,1,0
39,42.0,21/50,0,0,0
40,26.0,13/50,0,0,0
41,86.0,43/50,0,1,0
42,70.0,35/50,0,1,0
45,24.0,12/50,0,0,0
46,98.0,49/50,0,1,0
47,76.0,38/50,0,1,0
48,56.0,28/50,0,0,0
49,30.0,15/50,0,0,0
50,86.0,43/50,0,0,0
51,42.0,21/50,0,0,0
52,48.0,24/50,0,1,0
55,26.0,13/50,0,1,0
56,40.0,20/50,0,0,0
59,100.0,50/50,0,1,0
60,16.0,8/50,2,1,0
61,18.0,9/50,0,0,0
63,40.0,20/50,0,1,0
64,42.0,21/50,0,1,0
65,88.0,44/50,0,0,0
66,46.0,23/50,0,1,0
67,22.0,11/50,0,1,0
69,60.0,30/50,1,0,0
70,40.0,20/50,0,1,0
71,56.0,28/50,0,1,0
72,60.0,30/50,0,1,0
74,36.0,18/50,0,0,0
75,16.0,8/50,1,1,0
76,66.0,33/50,0,0,0
77,46.0,23/50,1,0,0
79,82.0,41/50,0,1,0
80,38.0,19/50,1,0,0
