instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,62.69,0,67,42,0,42/67,54.05,71.43,85.71,80.0,50.0
10,46.27,0,67,31,0,31/67,32.43,64.29,57.14,60.0,75.0
11,50.75,1,67,34,0,34/67,51.35,64.29,28.57,60.0,25.0
12,49.25,1,67,33,0,33/67,32.43,78.57,57.14,80.0,50.0
13,55.22,0,67,37,0,37/67,48.65,64.29,71.43,80.0,25.0
14,47.76,0,67,32,0,32/67,40.54,64.29,28.57,80.0,50.0
15,49.25,0,67,33,0,33/67,37.84,71.43,28.57,100.0,50.0
16,59.7,0,67,40,0,40/67,54.05,78.57,57.14,60.0,50.0
17,50.75,0,67,34,0,34/67,40.54,71.43,28.57,80.0,75.0
18,61.19,1,67,41,0,41/67,54.05,71.43,71.43,80.0,50.0
19,53.73,1,67,36,0,36/67,40.54,64.29,71.43,60.0,100.0
2,61.19,0,67,41,0,41/67,56.76,85.71,42.86,80.0,25.0
20,61.19,1,67,41,0,41/67,51.35,78.57,57.14,80.0,75.0
21,47.76,0,67,32,0,32/67,37.84,71.43,28.57,60.0,75.0
22,55.22,0,67,37,0,37/67,54.05,57.14,28.57,80.0,75.0
23,61.19,0,67,41,0,41/67,45.95,78.57,71.43,100.0,75.0
24,49.25,0,67,33,0,33/67,32.43,71.43,42.86,100.0,75.0
25,59.7,0,67,40,0,40/67,48.65,85.71,42.86,100.0,50.0
26,62.69,0,67,42,0,42/67,62.16,57.14,57.14,80.0,75.0
27,55.22,0,67,37,0,37/67,45.95,85.71,42.86,60.0,50.0
28,55.22,0,67,37,0,37/67,48.65,78.57,57.14,80.0,0.0
29,58.21,0,67,39,0,39/67,56.76,71.43,42.86,80.0,25.0
3,59.7,0,67,40,0,40/67,45.95,85.71,71.43,80.0,50.0
30,70.15,0,67,47,0,47/67,67.57,71.43,57.14,100.0,75.0
31,58.21,0,67,39,0,39/67,54.05,71.43,57.14,60.0,50.0
32,59.7,0,67,40,0,40/67,51.35,71.43,71.43,80.0,50.0
33,56.72,2,67,38,0,38/67,51.35,71.43,42.86,80.0,50.0
34,56.72,0,67,38,0,38/67,51.35,71.43,28.57,100.0,50.0
35,49.25,1,67,33,0,33/67,32.43,85.71,42.86,100.0,25.0
36,64.18,1,67,43,0,43/67,62.16,71.43,57.14,60.0,75.0
37,49.25,1,67,33,0,33/67,40.54,64.29,57.14,60.0,50.0
38,55.22,0,67,37,0,37/67,35.14,78.57,71.43,100.0,75.0
39,64.18,0,67,43,0,43/67,64.86,57.14,71.43,60.0,75.0
4,62.69,0,67,42,0,42/67,62.16,78.57,42.86,60.0,50.0
40,59.7,0,67,40,0,40/67,56.76,71.43,42.86,60.0,75.0
41,55.22,0,67,37,0,37/67,51.35,71.43,42.86,60.0,50.0
42,62.69,0,67,42,0,42/67,56.76,71.43,57.14,80.0,75.0
43,58.21,0,67,39,0,39/67,43.24,85.71,42.86,100.0,75.0
44,52.24,1,67,35,0,35/67,43.24,71.43,42.86,60.0,75.0
45,56.72,0,67,38,0,38/67,43.24,85.71,42.86,80.0,75.0
46,58.21,0,67,39,0,39/67,45.95,78.57,57.14,60.0,100.0
47,56.72,0,67,38,0,38/67,51.35,78.57,28.57,60.0,75.0
48,49.25,0,67,33,0,33/67,43.24,64.29,57.14,40.0,50.0
49,65.67,1,67,44,0,44/67,56.76,85.71,57.14,80.0,75.0
5,61.19,1,67,41,0,41/67,48.65,71.43,85.71,80.0,75.0
50,59.7,0,67,40,0,40/67,48.65,85.71,57.14,100.0,25.0
6,64.18,0,67,43,0,43/67,48.65,92.86,71.43,100.0,50.0
7,53.73,0,67,36,0,36/67,54.05,57.14,42.86,60.0,50.0
8,56.72,2,67,38,0,38/67,48.65,78.57,57.14,60.0,50.0
9,59.7,0,67,40,0,40/67,62.16,57.14,42.86,60.0,75.0
