instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total
1,61.19,1,67,41,0,41/67
10,46.27,0,67,31,0,31/67
11,50.75,1,67,34,0,34/67
12,49.25,1,67,33,0,33/67
13,55.22,0,67,37,0,37/67
14,47.76,0,67,32,0,32/67
15,49.25,0,67,33,0,33/67
16,59.7,0,67,40,0,40/67
17,50.75,0,67,34,0,34/67
18,61.19,1,67,41,0,41/67
19,53.73,1,67,36,0,36/67
2,59.7,1,67,40,0,40/67
20,61.19,1,67,41,0,41/67
21,47.76,0,67,32,0,32/67
22,55.22,0,67,37,0,37/67
23,61.19,1,67,41,0,41/67
24,49.25,1,67,33,0,33/67
25,59.7,0,67,40,0,40/67
26,61.19,1,67,41,0,41/67
27,55.22,1,67,37,0,37/67
28,55.22,0,67,37,0,37/67
29,58.21,0,67,39,0,39/67
3,58.21,1,67,39,0,39/67
30,70.15,0,67,47,0,47/67
31,58.21,0,67,39,0,39/67
32,59.7,0,67,40,0,40/67
33,56.72,2,67,38,0,38/67
34,56.72,0,67,38,0,38/67
35,49.25,1,67,33,0,33/67
36,64.18,1,67,43,0,43/67
37,49.25,1,67,33,0,33/67
38,55.22,0,67,37,0,37/67
39,64.18,0,67,43,0,43/67
4,62.69,0,67,42,0,42/67
40,59.7,1,67,40,0,40/67
41,55.22,0,67,37,0,37/67
42,62.69,0,67,42,0,42/67
43,58.21,0,67,39,0,39/67
44,52.24,1,67,35,0,35/67
45,56.72,0,67,38,0,38/67
46,58.21,0,67,39,0,39/67
47,56.72,0,67,38,0,38/67
48,49.25,0,67,33,0,33/67
49,65.67,1,67,44,0,44/67
5,61.19,1,67,41,0,41/67
50,59.7,0,67,40,0,40/67
6,64.18,0,67,43,0,43/67
7,53.73,0,67,36,0,36/67
8,56.72,2,67,38,0,38/67
9,59.7,0,67,40,0,40/67
