Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,10/10,0,1,0
2,100.0,10/10,0,1,0
3,100.0,10/10,0,1,0
4,100.0,10/10,0,1,0
6,100.0,10/10,0,1,0
8,100.0,10/10,0,1,0
9,40.0,4/10,0,1,0
10,100.0,10/10,0,1,0
11,80.0,8/10,0,1,0
12,100.0,10/10,0,1,0
13,90.0,9/10,0,1,0
14,90.0,9/10,0,1,0
15,80.0,8/10,0,0,0
16,100.0,10/10,0,1,0
17,100.0,10/10,0,1,0
18,70.0,7/10,0,1,0
19,100.0,10/10,0,1,0
20,100.0,10/10,0,1,0
21,100.0,10/10,0,1,0
22,60.0,6/10,0,1,0
23,90.0,9/10,0,1,0
24,30.0,3/10,0,0,0
25,100.0,10/10,0,1,0
26,100.0,10/10,0,1,0
27,70.0,7/10,0,1,0
28,100.0,10/10,0,1,0
29,100.0,10/10,0,1,0
30,50.0,5/10,0,1,0
31,100.0,10/10,0,1,0
32,100.0,10/10,0,1,0
34,100.0,10/10,0,1,0
35,100.0,10/10,0,1,0
36,100.0,10/10,0,1,0
37,60.0,6/10,0,1,0
38,90.0,9/10,0,1,0
39,100.0,10/10,0,1,0
40,70.0,7/10,0,1,0
41,100.0,10/10,0,1,0
42,100.0,10/10,0,1,0
45,100.0,10/10,0,1,0
46,100.0,10/10,0,1,0
47,100.0,10/10,0,1,0
48,100.0,10/10,0,1,0
49,100.0,10/10,0,1,0
50,80.0,8/10,0,1,0
51,80.0,8/10,0,1,0
52,80.0,8/10,0,1,0
55,100.0,10/10,0,1,0
56,100.0,10/10,0,1,0
59,100.0,10/10,0,1,0
60,40.0,4/10,0,1,0
61,100.0,10/10,0,1,0
63,70.0,7/10,0,1,0
64,100.0,10/10,0,1,0
65,100.0,10/10,0,1,0
66,100.0,10/10,0,1,0
67,80.0,8/10,0,1,0
69,100.0,10/10,0,1,0
70,30.0,3/10,0,0,0
71,100.0,10/10,0,1,0
72,90.0,9/10,0,1,0
74,10.0,1/10,0,0,0
75,80.0,8/10,0,1,0
76,100.0,10/10,0,1,0
77,50.0,5/10,0,1,0
79,90.0,9/10,0,1,0
80,100.0,10/10,0,1,0
