instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,94.03,0,67,63,0,63/67,89.19,100.0,100.0,100.0,100.0
10,86.57,0,67,58,0,58/67,81.08,85.71,100.0,100.0,100.0
2,88.06,0,67,59,0,59/67,86.49,92.86,85.71,100.0,75.0
3,89.55,0,67,60,0,60/67,83.78,92.86,100.0,100.0,100.0
4,82.09,0,67,55,0,55/67,75.68,85.71,100.0,100.0,75.0
5,89.55,0,67,60,0,60/67,83.78,100.0,100.0,100.0,75.0
6,85.07,0,67,57,0,57/67,81.08,100.0,71.43,100.0,75.0
7,85.07,0,67,57,0,57/67,78.38,92.86,85.71,100.0,100.0
8,88.06,0,67,59,0,59/67,86.49,85.71,100.0,100.0,75.0
9,85.07,0,67,57,0,57/67,81.08,85.71,85.71,100.0,100.0
