Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,10/10,0,1,0
2,80.0,8/10,0,1,0
3,30.0,3/10,0,1,0
4,50.0,5/10,0,1,0
6,100.0,10/10,0,1,0
8,10.0,1/10,0,0,0
9,20.0,2/10,0,0,0
10,80.0,8/10,0,1,0
11,60.0,6/10,0,0,0
12,90.0,9/10,0,1,0
13,40.0,4/10,0,0,0
14,70.0,7/10,0,0,0
15,60.0,6/10,0,1,0
16,50.0,5/10,0,1,0
17,90.0,9/10,0,1,0
18,10.0,1/10,0,0,0
19,90.0,9/10,0,1,0
20,60.0,6/10,0,0,0
21,50.0,5/10,0,0,0
22,20.0,2/10,0,0,0
23,50.0,5/10,0,1,0
24,30.0,3/10,0,0,0
25,80.0,8/10,0,1,0
26,60.0,6/10,0,1,0
27,50.0,5/10,0,1,0
28,90.0,9/10,0,1,0
29,100.0,10/10,0,1,0
30,10.0,1/10,0,1,0
31,60.0,6/10,0,0,0
32,80.0,8/10,0,1,0
34,90.0,9/10,0,1,0
35,80.0,8/10,0,1,0
36,100.0,10/10,0,1,0
37,50.0,5/10,0,1,0
38,80.0,8/10,0,1,0
39,30.0,3/10,0,0,0
40,30.0,3/10,0,1,0
41,80.0,8/10,0,1,0
42,50.0,5/10,0,0,0
45,50.0,5/10,0,1,0
46,80.0,8/10,0,1,0
47,50.0,5/10,0,0,0
48,60.0,6/10,0,1,0
49,60.0,6/10,0,1,0
50,70.0,7/10,0,1,0
51,60.0,6/10,0,0,0
52,60.0,6/10,0,1,0
55,50.0,5/10,0,1,0
56,30.0,3/10,0,0,0
59,90.0,9/10,0,0,0
60,30.0,3/10,0,0,0
61,20.0,2/10,0,0,0
63,40.0,4/10,0,1,0
64,40.0,4/10,0,1,0
65,80.0,8/10,0,1,0
66,40.0,4/10,0,0,0
67,20.0,2/10,0,0,0
69,50.0,5/10,0,0,0
70,30.0,3/10,0,1,0
71,40.0,4/10,0,1,0
72,90.0,9/10,0,1,0
74,10.0,1/10,0,1,0
75,30.0,3/10,0,0,0
76,40.0,4/10,0,1,0
77,20.0,2/10,0,0,0
79,100.0,10/10,0,1,0
80,20.0,2/10,0,0,0
