instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,62.69,0,67,42,0,42/67,51.35,64.29,85.71,100.0,75.0
10,44.78,0,67,30,0,30/67,40.54,50.0,28.57,60.0,75.0
2,55.22,0,67,37,0,37/67,48.65,64.29,42.86,80.0,75.0
3,65.67,0,67,44,0,44/67,56.76,78.57,71.43,80.0,75.0
4,56.72,0,67,38,0,38/67,54.05,57.14,71.43,60.0,50.0
5,58.21,0,67,39,0,39/67,54.05,71.43,42.86,60.0,75.0
6,50.75,0,67,34,0,34/67,43.24,64.29,57.14,60.0,50.0
7,55.22,0,67,37,0,37/67,45.95,64.29,71.43,80.0,50.0
8,49.25,0,67,33,0,33/67,43.24,71.43,28.57,80.0,25.0
9,56.72,0,67,38,0,38/67,51.35,57.14,71.43,60.0,75.0
