Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,10/10,0,1,0
2,80.0,8/10,1,0,0
3,50.0,5/10,0,1,0
4,70.0,7/10,0,0,0
6,100.0,10/10,0,1,0
8,30.0,3/10,0,1,0
9,50.0,5/10,0,0,0
10,60.0,6/10,0,1,0
11,70.0,7/10,0,0,0
12,100.0,10/10,0,1,0
13,30.0,3/10,1,0,0
14,40.0,4/10,0,0,0
15,50.0,5/10,0,1,0
16,100.0,10/10,0,1,0
17,90.0,9/10,1,1,0
18,0.0,0/10,0,0,0
19,70.0,7/10,0,0,0
20,60.0,6/10,0,1,0
21,10.0,1/10,0,0,0
22,20.0,2/10,0,0,0
23,80.0,8/10,0,0,0
24,20.0,2/10,0,0,0
25,70.0,7/10,0,1,0
26,70.0,7/10,0,0,0
27,30.0,3/10,0,1,0
28,60.0,6/10,0,1,0
29,60.0,6/10,0,1,0
30,30.0,3/10,0,0,0
31,70.0,7/10,0,0,0
32,90.0,9/10,0,1,0
34,50.0,5/10,0,1,0
35,60.0,6/10,0,1,0
36,90.0,9/10,0,1,0
37,40.0,4/10,0,1,0
38,70.0,7/10,0,0,0
39,30.0,3/10,0,0,0
40,10.0,1/10,0,0,0
41,90.0,9/10,0,1,0
42,60.0,6/10,1,1,0
45,70.0,7/10,0,1,0
46,90.0,9/10,0,0,0
47,40.0,4/10,0,1,0
48,60.0,6/10,0,0,0
49,30.0,3/10,0,0,0
50,40.0,4/10,0,1,0
51,20.0,2/10,0,0,0
52,60.0,6/10,0,1,0
55,40.0,4/10,0,0,0
56,20.0,2/10,0,0,0
59,80.0,8/10,0,0,0
60,30.0,3/10,0,0,0
61,10.0,1/10,0,0,0
63,20.0,2/10,0,0,0
64,40.0,4/10,0,1,0
65,100.0,10/10,0,1,0
66,70.0,7/10,0,1,0
67,0.0,0/10,0,0,0
69,60.0,6/10,0,0,0
70,50.0,5/10,0,1,0
71,50.0,5/10,1,1,0
72,70.0,7/10,0,0,0
74,10.0,1/10,4,1,4
75,0.0,0/6,6,0,6
76,37.5,3/8,0,0,0
77,40.0,4/10,0,0,0
79,70.0,7/10,0,0,0
80,20.0,2/10,0,0,0
