instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,46.97,2,66,31,1,31/66,38.89,50.0,71.43,60.0,50.0
10,48.48,1,66,32,1,32/66,32.43,64.29,66.67,80.0,75.0
2,58.46,1,65,38,0,38/65,50.0,71.43,83.33,80.0,25.0
3,56.06,1,66,37,0,37/66,45.95,71.43,50.0,80.0,75.0
4,50.0,0,66,33,0,33/66,35.14,78.57,33.33,100.0,50.0
5,56.72,2,67,38,1,38/67,56.76,64.29,42.86,60.0,50.0
6,55.22,1,67,37,1,37/67,51.35,78.57,14.29,80.0,50.0
7,53.73,2,67,36,2,36/67,43.24,57.14,71.43,100.0,50.0
8,50.75,3,67,34,2,34/67,37.84,78.57,42.86,80.0,50.0
9,47.76,2,67,32,2,32/67,40.54,57.14,42.86,80.0,50.0
