instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,74.63,0,67,50,0,50/67,72.97,78.57,85.71,80.0,50.0
10,68.66,1,67,46,0,46/67,62.16,85.71,71.43,60.0,75.0
11,73.13,0,67,49,0,49/67,67.57,85.71,85.71,80.0,50.0
12,74.63,0,67,50,0,50/67,62.16,100.0,85.71,80.0,75.0
13,68.66,0,67,46,0,46/67,56.76,85.71,100.0,100.0,25.0
14,71.64,0,67,48,0,48/67,70.27,71.43,85.71,80.0,50.0
15,65.67,0,67,44,0,44/67,56.76,71.43,71.43,100.0,75.0
16,62.69,1,67,42,0,42/67,51.35,85.71,57.14,100.0,50.0
17,71.64,1,67,48,0,48/67,70.27,85.71,71.43,60.0,50.0
18,68.66,0,67,46,0,46/67,59.46,71.43,85.71,100.0,75.0
19,65.67,0,67,44,0,44/67,54.05,78.57,71.43,100.0,75.0
2,79.1,0,67,53,0,53/67,72.97,92.86,85.71,100.0,50.0
20,67.16,0,67,45,0,45/67,54.05,78.57,85.71,80.0,100.0
21,71.64,0,67,48,0,48/67,56.76,92.86,100.0,80.0,75.0
22,74.63,0,67,50,0,50/67,67.57,85.71,71.43,100.0,75.0
23,65.67,0,67,44,0,44/67,59.46,85.71,71.43,80.0,25.0
24,80.6,2,67,54,0,54/67,72.97,100.0,85.71,80.0,75.0
25,73.13,0,67,49,0,49/67,62.16,85.71,85.71,100.0,75.0
26,73.13,1,67,49,0,49/67,67.57,92.86,71.43,60.0,75.0
27,76.12,0,67,51,0,51/67,70.27,85.71,85.71,100.0,50.0
28,73.13,0,67,49,0,49/67,70.27,92.86,57.14,80.0,50.0
29,70.15,1,67,47,0,47/67,62.16,78.57,71.43,100.0,75.0
3,67.16,0,67,45,0,45/67,54.05,85.71,100.0,80.0,50.0
30,67.16,0,67,45,0,45/67,59.46,64.29,71.43,100.0,100.0
4,64.18,0,67,43,0,43/67,48.65,92.86,57.14,100.0,75.0
5,74.63,0,67,50,0,50/67,64.86,100.0,57.14,80.0,100.0
6,70.15,0,67,47,0,47/67,64.86,78.57,85.71,80.0,50.0
7,74.63,0,67,50,0,50/67,67.57,85.71,100.0,80.0,50.0
8,71.64,0,67,48,0,48/67,62.16,92.86,71.43,80.0,75.0
9,71.64,0,67,48,0,48/67,64.86,92.86,71.43,80.0,50.0
