instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total
1,74.63,1,67,50,0,50/67
10,64.18,5,67,43,0,43/67
11,71.64,2,67,48,0,48/67
12,71.64,4,67,48,0,48/67
13,64.18,5,67,43,0,43/67
14,68.66,2,67,46,0,46/67
15,65.67,2,67,44,0,44/67
16,62.69,1,67,42,0,42/67
17,70.15,2,67,47,0,47/67
18,64.18,5,67,43,0,43/67
19,64.18,2,67,43,0,43/67
2,76.12,3,67,51,0,51/67
20,65.67,3,67,44,0,44/67
21,68.66,3,67,46,0,46/67
22,71.64,5,67,48,0,48/67
23,64.18,4,67,43,0,43/67
24,74.63,7,67,50,0,50/67
25,71.64,2,67,48,0,48/67
26,68.66,4,67,46,0,46/67
27,71.64,3,67,48,0,48/67
28,68.66,5,67,46,0,46/67
29,64.18,6,67,43,0,43/67
3,64.18,5,67,43,0,43/67
30,65.67,2,67,44,0,44/67
4,62.69,2,67,42,0,42/67
5,73.13,2,67,49,0,49/67
6,68.66,1,67,46,0,46/67
7,70.15,3,67,47,0,47/67
8,68.66,2,67,46,0,46/67
9,71.64,2,67,48,0,48/67
