Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,10/10,0,1,0
2,70.0,7/10,0,1,0
3,40.0,4/10,0,1,0
4,100.0,10/10,0,1,0
6,100.0,10/10,0,1,0
8,100.0,10/10,0,1,0
9,30.0,3/10,0,1,0
10,80.0,8/10,0,1,0
11,90.0,9/10,0,1,0
12,100.0,10/10,0,1,0
13,100.0,10/10,0,1,0
14,60.0,6/10,0,1,0
15,60.0,6/10,0,1,0
16,100.0,10/10,0,1,0
17,100.0,10/10,0,1,0
18,20.0,2/10,0,0,0
19,90.0,9/10,0,1,0
20,70.0,7/10,0,0,0
21,70.0,7/10,0,0,0
22,30.0,3/10,0,1,0
23,80.0,8/10,0,1,0
24,30.0,3/10,0,1,0
25,90.0,9/10,0,1,0
26,90.0,9/10,0,1,0
27,60.0,6/10,0,1,0
28,100.0,10/10,0,1,0
29,100.0,10/10,0,1,0
30,30.0,3/10,0,0,0
31,100.0,10/10,0,1,0
32,100.0,10/10,0,1,0
34,40.0,4/10,0,1,0
35,80.0,8/10,0,1,0
36,60.0,6/10,0,0,0
37,20.0,2/10,0,0,0
38,70.0,7/10,0,1,0
39,90.0,9/10,0,1,0
40,40.0,4/10,0,0,0
41,80.0,8/10,0,1,0
42,90.0,9/10,0,1,0
45,40.0,4/10,0,0,0
46,100.0,10/10,0,1,0
47,100.0,10/10,0,1,0
48,50.0,5/10,0,1,0
49,60.0,6/10,0,1,0
50,80.0,8/10,0,0,0
51,60.0,6/10,0,0,0
52,20.0,2/10,0,1,0
55,50.0,5/10,0,0,0
56,30.0,3/10,0,0,0
59,90.0,9/10,0,1,0
60,50.0,5/10,0,0,0
61,40.0,4/10,0,1,0
63,10.0,1/10,0,0,0
64,80.0,8/10,0,1,0
65,100.0,10/10,0,1,0
66,90.0,9/10,0,1,0
67,30.0,3/10,0,0,0
69,100.0,10/10,0,1,0
70,40.0,4/10,0,1,0
71,70.0,7/10,0,0,0
72,70.0,7/10,0,0,0
74,10.0,1/10,0,0,0
75,60.0,6/10,0,1,0
76,90.0,9/10,0,1,0
77,60.0,6/10,0,1,0
79,80.0,8/10,0,1,0
80,100.0,10/10,0,1,0
