instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,73.13,0,67,49,0,49/67,62.16,92.86,85.71,100.0,50.0
10,71.64,0,67,48,0,48/67,64.86,85.71,71.43,80.0,75.0
2,67.16,0,67,45,0,45/67,59.46,100.0,71.43,80.0,0.0
3,77.61,0,67,52,0,52/67,70.27,92.86,85.71,80.0,75.0
4,65.67,0,67,44,0,44/67,54.05,78.57,100.0,80.0,50.0
5,62.69,0,67,42,0,42/67,56.76,78.57,57.14,100.0,25.0
6,68.66,0,67,46,0,46/67,59.46,92.86,71.43,80.0,50.0
7,64.18,0,67,43,0,43/67,62.16,78.57,57.14,80.0,25.0
8,65.67,0,67,44,0,44/67,62.16,71.43,71.43,60.0,75.0
9,73.13,0,67,49,0,49/67,64.86,100.0,71.43,80.0,50.0
