Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,10/10,0,1,0
2,100.0,10/10,0,1,0
3,80.0,8/10,0,1,0
4,100.0,10/10,0,1,0
6,100.0,10/10,0,1,0
8,100.0,10/10,0,1,0
9,30.0,3/10,0,0,0
10,70.0,7/10,0,1,0
11,80.0,8/10,0,1,0
12,100.0,10/10,0,1,0
13,60.0,6/10,0,1,0
14,20.0,2/10,0,1,0
15,60.0,6/10,0,1,0
16,100.0,10/10,0,1,0
17,90.0,9/10,0,1,0
18,10.0,1/10,0,0,0
19,80.0,8/10,0,1,0
20,90.0,9/10,0,1,0
21,50.0,5/10,0,0,0
22,50.0,5/10,0,1,0
23,80.0,8/10,0,0,0
24,50.0,5/10,0,0,0
25,100.0,10/10,0,1,0
26,100.0,10/10,0,1,0
27,70.0,7/10,0,1,0
28,100.0,10/10,0,1,0
29,90.0,9/10,0,1,0
30,40.0,4/10,0,0,0
31,100.0,10/10,0,1,0
32,90.0,9/10,0,1,0
34,90.0,9/10,0,1,0
35,80.0,8/10,0,1,0
36,60.0,6/10,0,0,0
37,50.0,5/10,0,1,0
38,90.0,9/10,0,1,0
39,90.0,9/10,0,1,0
40,20.0,2/10,0,0,0
41,90.0,9/10,0,1,0
42,100.0,10/10,0,1,0
45,30.0,3/10,0,1,0
46,100.0,10/10,0,1,0
47,90.0,9/10,0,1,0
48,80.0,8/10,0,1,0
49,30.0,3/10,3,1,0
50,90.0,9/10,0,1,0
51,60.0,6/10,0,0,0
52,60.0,6/10,0,1,0
55,50.0,5/10,0,1,0
56,10.0,1/10,0,0,0
59,90.0,9/10,0,1,0
60,60.0,6/10,0,0,0
61,50.0,5/10,0,1,0
63,50.0,5/10,0,0,0
64,100.0,10/10,0,1,0
65,100.0,10/10,0,1,0
66,100.0,10/10,0,1,0
67,20.0,2/10,0,0,0
69,90.0,9/10,0,1,0
70,30.0,3/10,0,0,0
71,70.0,7/10,0,0,0
72,40.0,4/10,0,0,0
74,40.0,4/10,0,1,0
75,60.0,6/10,0,0,0
76,70.0,7/10,0,1,0
77,70.0,7/10,0,1,0
79,90.0,9/10,0,1,0
80,90.0,9/10,0,1,0
