instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,74.63,0,67,50,0,50/67,62.16,92.86,85.71,100.0,75.0
10,71.64,0,67,48,0,48/67,67.57,78.57,71.43,100.0,50.0
2,71.64,1,67,48,0,48/67,56.76,92.86,85.71,100.0,75.0
3,70.15,0,67,47,0,47/67,56.76,85.71,71.43,100.0,100.0
4,73.13,0,67,49,0,49/67,64.86,92.86,71.43,100.0,50.0
5,64.18,0,67,43,0,43/67,45.95,85.71,85.71,100.0,75.0
6,71.64,1,67,48,0,48/67,64.86,92.86,71.43,80.0,50.0
7,79.1,0,67,53,0,53/67,70.27,92.86,100.0,100.0,50.0
8,70.15,1,67,47,0,47/67,62.16,78.57,85.71,100.0,50.0
9,67.16,0,67,45,0,45/67,59.46,85.71,71.43,80.0,50.0
