Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,10/10,0,1,0
2,90.0,9/10,0,1,0
3,50.0,5/10,1,1,0
4,80.0,8/10,0,0,0
6,100.0,10/10,0,1,0
8,100.0,10/10,0,1,0
9,20.0,2/10,1,1,0
10,80.0,8/10,0,1,0
11,80.0,8/10,0,0,0
12,100.0,10/10,0,1,0
13,60.0,6/10,1,1,0
14,50.0,5/10,0,0,0
15,80.0,8/10,0,1,0
16,100.0,10/10,0,1,0
17,100.0,10/10,0,1,0
18,20.0,2/10,0,1,0
19,100.0,10/10,0,1,0
20,90.0,9/10,0,1,0
21,60.0,6/10,0,1,0
22,30.0,3/10,0,0,0
23,90.0,9/10,0,1,0
24,10.0,1/10,0,0,0
25,100.0,10/10,0,1,0
26,80.0,8/10,0,1,0
27,40.0,4/10,1,1,0
28,90.0,9/10,0,1,0
29,100.0,10/10,0,1,0
30,30.0,3/10,0,0,0
31,100.0,10/10,0,1,0
32,100.0,10/10,0,1,0
34,60.0,6/10,0,1,0
35,50.0,5/10,1,0,0
36,60.0,6/10,0,1,0
37,40.0,4/10,0,0,0
38,80.0,8/10,0,1,0
39,90.0,9/10,0,1,0
40,30.0,3/10,0,1,0
41,100.0,10/10,0,1,0
42,100.0,10/10,0,1,0
45,30.0,3/10,0,0,0
46,100.0,10/10,0,1,0
47,100.0,10/10,0,1,0
48,70.0,7/10,0,1,0
49,60.0,6/10,0,1,0
50,70.0,7/10,0,1,0
51,80.0,8/10,0,0,0
52,40.0,4/10,0,0,0
55,50.0,5/10,3,1,0
56,30.0,3/10,0,0,0
59,70.0,7/10,2,0,0
60,20.0,2/10,0,0,0
61,20.0,2/10,1,0,0
63,30.0,3/10,0,0,0
64,90.0,9/10,0,1,0
65,100.0,10/10,0,1,0
66,70.0,7/10,1,1,0
67,30.0,3/10,0,0,0
69,80.0,8/10,0,1,0
70,50.0,5/10,0,1,0
71,50.0,5/10,0,0,0
72,60.0,6/10,0,0,0
74,10.0,1/10,0,0,0
75,90.0,9/10,0,1,0
76,80.0,8/10,1,1,0
77,80.0,8/10,0,1,0
79,100.0,10/10,0,1,0
80,100.0,10/10,0,1,0
