Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,54.0,27/50,1,0,0
2,30.0,15/50,0,0,0
3,38.0,19/50,0,0,0
4,32.0,16/50,0,0,0
6,74.0,37/50,0,1,0
8,36.0,18/50,0,1,0
9,42.0,21/50,1,1,0
10,42.0,21/50,0,0,0
11,38.0,19/50,0,0,0
12,34.0,17/50,0,0,0
13,36.0,18/50,0,1,0
14,36.0,18/50,0,0,0
15,34.0,17/50,0,0,0
16,32.0,16/50,0,0,0
17,40.0,20/50,0,0,0
18,18.0,9/50,0,0,0
19,30.0,15/50,0,0,0
20,24.0,12/50,0,0,0
21,26.0,13/50,0,0,0
22,34.0,17/50,1,0,0
23,28.0,14/50,0,0,0
24,20.0,10/50,0,0,0
25,52.0,26/50,0,1,0
26,30.0,15/50,2,0,0
27,28.0,14/50,1,0,0
28,38.0,19/50,3,0,0
29,42.0,21/50,0,0,0
30,38.0,19/50,1,0,0
31,40.0,20/50,0,1,0
32,56.0,28/50,0,0,0
34,36.0,18/50,1,0,0
35,36.0,18/50,0,1,0
36,72.0,36/50,0,0,0
37,18.0,9/50,0,0,0
38,34.0,17/50,0,0,0
39,20.0,10/50,0,0,0
40,26.0,13/50,0,0,0
41,34.0,17/50,0,0,0
42,32.0,16/50,0,0,0
45,20.0,10/50,0,0,0
46,44.0,22/50,0,0,0
47,28.0,14/50,0,0,0
48,26.0,13/50,0,0,0
49,24.0,12/50,1,0,0
50,44.0,22/50,0,1,0
51,32.0,16/50,0,0,0
52,38.0,19/50,1,1,0
55,30.0,15/50,2,0,0
56,18.0,9/50,0,0,0
59,32.0,16/50,0,1,0
60,36.0,18/50,0,0,0
61,28.0,14/50,1,0,0
63,28.0,14/50,1,0,0
64,28.0,14/50,0,1,0
65,32.0,16/50,0,1,0
66,18.0,9/50,1,0,0
67,34.0,17/50,0,0,0
69,38.0,19/50,0,1,0
70,34.0,17/50,0,0,0
71,48.0,24/50,0,1,0
72,46.0,23/50,2,0,0
74,36.0,18/50,0,0,0
75,22.0,11/50,0,0,0
76,40.0,20/50,0,0,0
77,30.0,15/50,0,0,0
79,42.0,21/50,0,0,0
80,30.0,15/50,1,0,0
