instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,20.9,0,67,14,0,14/67,18.92,28.57,28.57,20.0,0.0
10,29.85,0,67,20,0,20/67,32.43,21.43,14.29,60.0,25.0
11,37.31,2,67,25,0,25/67,48.65,21.43,28.57,40.0,0.0
12,31.34,1,67,21,0,21/67,24.32,50.0,14.29,40.0,50.0
13,31.34,2,67,21,0,21/67,35.14,21.43,14.29,40.0,50.0
14,32.84,0,67,22,0,22/67,43.24,14.29,0.0,60.0,25.0
15,40.3,2,67,27,0,27/67,37.84,50.0,28.57,60.0,25.0
16,35.82,0,67,24,0,24/67,27.03,57.14,42.86,60.0,0.0
17,35.82,0,67,24,0,24/67,29.73,42.86,57.14,40.0,25.0
18,41.79,1,67,28,0,28/67,40.54,21.43,57.14,60.0,75.0
19,31.34,0,67,21,0,21/67,27.03,42.86,14.29,20.0,75.0
2,31.34,0,67,21,0,21/67,32.43,28.57,14.29,40.0,50.0
20,47.76,0,67,32,0,32/67,37.84,71.43,71.43,40.0,25.0
21,40.3,0,67,27,0,27/67,40.54,50.0,28.57,40.0,25.0
22,32.84,1,67,22,0,22/67,27.03,35.71,42.86,60.0,25.0
23,38.81,0,67,26,0,26/67,40.54,35.71,42.86,20.0,50.0
24,38.81,1,67,26,0,26/67,35.14,28.57,42.86,60.0,75.0
25,35.82,0,67,24,0,24/67,29.73,50.0,14.29,60.0,50.0
26,35.82,1,67,24,0,24/67,29.73,21.43,57.14,60.0,75.0
27,34.33,0,67,23,0,23/67,35.14,35.71,14.29,40.0,50.0
28,28.36,0,67,19,0,19/67,18.92,35.71,28.57,60.0,50.0
29,34.33,1,67,23,0,23/67,29.73,42.86,42.86,40.0,25.0
3,35.82,0,67,24,0,24/67,27.03,50.0,28.57,60.0,50.0
30,38.81,0,67,26,0,26/67,37.84,35.71,14.29,60.0,75.0
31,40.3,0,67,27,0,27/67,43.24,35.71,42.86,40.0,25.0
32,31.34,0,67,21,0,21/67,24.32,50.0,42.86,20.0,25.0
33,29.85,1,67,20,0,20/67,21.62,50.0,42.86,20.0,25.0
34,29.85,0,67,20,0,20/67,21.62,28.57,42.86,80.0,25.0
35,40.3,1,67,27,0,27/67,40.54,35.71,42.86,60.0,25.0
36,37.31,0,67,25,0,25/67,29.73,57.14,14.29,60.0,50.0
37,25.37,0,67,17,0,17/67,21.62,28.57,14.29,40.0,50.0
38,34.33,0,67,23,0,23/67,35.14,35.71,0.0,40.0,75.0
39,37.31,1,67,25,0,25/67,29.73,42.86,57.14,40.0,50.0
4,29.85,1,67,20,0,20/67,24.32,35.71,42.86,20.0,50.0
40,38.81,1,67,26,0,26/67,32.43,57.14,14.29,60.0,50.0
41,38.81,0,67,26,0,26/67,35.14,50.0,28.57,40.0,50.0
42,38.81,0,67,26,0,26/67,37.84,21.43,71.43,60.0,25.0
43,34.33,0,67,23,0,23/67,37.84,35.71,0.0,80.0,0.0
44,32.84,0,67,22,0,22/67,32.43,28.57,14.29,60.0,50.0
45,35.82,0,67,24,0,24/67,35.14,42.86,14.29,40.0,50.0
46,23.88,2,67,16,0,16/67,32.43,28.57,0.0,0.0,0.0
47,40.3,0,67,27,0,27/67,45.95,35.71,42.86,0.0,50.0
48,25.37,1,67,17,0,17/67,18.92,57.14,14.29,20.0,0.0
49,32.84,0,67,22,0,22/67,35.14,28.57,57.14,20.0,0.0
5,26.87,0,67,18,0,18/67,29.73,28.57,14.29,20.0,25.0
50,35.82,0,67,24,0,24/67,29.73,28.57,42.86,80.0,50.0
6,49.25,0,67,33,0,33/67,43.24,42.86,57.14,80.0,75.0
7,29.85,0,67,20,0,20/67,21.62,42.86,42.86,40.0,25.0
8,38.81,1,67,26,0,26/67,37.84,28.57,42.86,60.0,50.0
9,28.36,0,67,19,0,19/67,24.32,35.71,14.29,60.0,25.0
