Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,10/10,0,1,0
2,30.0,3/10,0,0,0
3,50.0,5/10,0,1,0
4,80.0,8/10,1,1,0
6,100.0,10/10,0,1,0
8,40.0,4/10,1,1,0
9,50.0,5/10,0,0,0
10,80.0,8/10,0,1,0
11,50.0,5/10,0,1,0
12,100.0,10/10,0,1,0
13,80.0,8/10,0,1,0
14,30.0,3/10,0,0,0
15,30.0,3/10,1,1,0
16,100.0,10/10,0,1,0
17,80.0,8/10,0,0,0
18,30.0,3/10,0,1,0
19,90.0,9/10,0,1,0
20,90.0,9/10,0,1,0
21,0.0,0/10,0,0,0
22,30.0,3/10,0,1,0
23,80.0,8/10,0,1,0
24,20.0,2/10,0,0,0
25,50.0,5/10,0,1,0
26,50.0,5/10,0,0,0
27,30.0,3/10,0,1,0
28,90.0,9/10,0,1,0
29,70.0,7/10,0,1,0
30,40.0,4/10,0,1,0
31,90.0,9/10,0,1,0
32,100.0,10/10,0,1,0
34,60.0,6/10,0,1,0
35,40.0,4/10,0,0,0
36,90.0,9/10,0,1,0
37,40.0,4/10,0,0,0
38,90.0,9/10,0,1,0
39,70.0,7/10,0,1,0
40,50.0,5/10,0,0,0
41,100.0,10/10,0,1,0
42,100.0,10/10,0,1,0
45,20.0,2/10,5,0,0
46,90.0,9/10,0,1,0
47,40.0,4/10,0,0,0
48,90.0,9/10,0,1,0
49,20.0,2/10,0,0,0
50,40.0,4/10,0,1,0
51,70.0,7/10,0,0,0
52,50.0,5/10,0,1,0
55,30.0,3/10,3,1,0
56,30.0,3/10,0,0,0
59,90.0,9/10,0,1,0
60,10.0,1/10,0,0,0
61,30.0,3/10,0,0,0
63,30.0,3/10,0,0,0
64,40.0,4/10,0,1,0
65,100.0,10/10,0,1,0
66,40.0,4/10,1,1,0
67,10.0,1/10,1,1,0
69,70.0,7/10,1,0,0
70,10.0,1/10,0,0,0
71,60.0,6/10,0,1,0
72,90.0,9/10,0,1,0
74,10.0,1/10,0,0,0
75,30.0,3/10,1,1,0
76,70.0,7/10,0,1,0
77,50.0,5/10,0,0,0
79,100.0,10/10,0,1,0
80,40.0,4/10,3,0,0
