instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,65.67,2,67,44,0,44/67,62.16,71.43,71.43,80.0,50.0
10,61.19,3,67,41,0,41/67,54.05,71.43,42.86,80.0,100.0
2,53.73,1,67,36,0,36/67,43.24,85.71,0.0,100.0,75.0
3,55.22,0,67,37,0,37/67,48.65,71.43,28.57,80.0,75.0
4,52.24,4,67,35,0,35/67,43.24,71.43,42.86,80.0,50.0
5,58.21,1,67,39,0,39/67,54.05,64.29,57.14,60.0,75.0
6,58.21,2,67,39,0,39/67,51.35,85.71,28.57,80.0,50.0
7,58.21,1,67,39,0,39/67,51.35,92.86,42.86,40.0,50.0
8,50.75,4,67,34,0,34/67,40.54,78.57,57.14,60.0,25.0
9,62.69,0,67,42,0,42/67,51.35,85.71,71.43,60.0,75.0
