Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,40/40,0,1,0
2,30.0,12/40,0,0,0
3,40.0,16/40,3,1,0
4,67.5,27/40,1,1,0
6,97.5,39/40,0,1,0
8,42.5,17/40,1,0,0
9,37.5,15/40,0,0,0
10,65.0,26/40,0,1,0
11,52.5,21/40,0,0,0
12,90.0,36/40,1,1,0
13,45.0,18/40,2,1,0
14,52.5,21/40,0,0,0
15,35.0,14/40,1,0,0
16,92.5,37/40,0,1,0
17,75.0,30/40,2,0,0
18,5.0,2/40,0,0,0
19,90.0,36/40,0,1,0
20,70.0,28/40,0,1,0
21,0.0,0/40,0,0,0
22,20.0,8/40,1,1,0
23,82.5,33/40,0,1,0
24,25.0,10/40,0,0,0
25,62.5,25/40,0,1,0
26,52.5,21/40,0,0,0
27,7.5,3/40,31,1,0
28,75.0,30/40,0,0,0
29,55.0,22/40,0,1,0
30,37.5,15/40,0,1,0
31,90.0,36/40,0,1,0
32,95.0,38/40,0,1,0
34,35.0,14/40,0,0,0
35,37.5,15/40,5,0,0
36,87.5,35/40,0,1,0
37,40.0,16/40,0,0,0
38,82.5,33/40,0,1,0
39,77.5,31/40,0,1,0
40,30.0,12/40,0,0,0
41,95.0,38/40,0,1,0
42,97.5,39/40,0,1,0
45,25.0,10/40,4,0,0
46,90.0,36/40,0,1,0
47,80.0,32/40,0,0,0
48,72.5,29/40,0,1,0
49,40.0,16/40,0,1,0
50,62.5,25/40,0,1,0
51,35.0,14/40,0,0,0
52,32.5,13/40,11,0,0
55,7.5,3/40,20,0,0
56,30.0,12/40,1,1,0
59,42.5,17/40,23,0,0
60,22.5,9/40,1,0,0
61,15.0,6/40,0,0,0
63,30.0,12/40,3,0,0
64,2.5,1/40,39,0,0
65,90.0,36/40,0,1,0
66,42.5,17/40,0,1,0
67,32.5,13/40,6,1,0
69,50.0,20/40,1,0,0
70,40.0,16/40,1,0,0
71,42.5,17/40,2,0,0
72,62.5,25/40,0,1,0
74,30.0,12/40,1,1,0
75,17.5,7/40,18,0,0
76,60.0,24/40,0,0,0
77,35.0,14/40,0,0,0
79,95.0,38/40,1,1,0
80,30.0,12/40,8,0,0
