instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total
1,50.75,8,67,34,0,34/67
10,55.22,4,67,37,0,37/67
11,49.25,7,67,33,0,33/67
12,47.76,6,67,32,0,32/67
13,52.24,5,67,35,0,35/67
14,47.76,5,67,32,0,32/67
15,49.25,4,67,33,0,33/67
16,55.22,5,67,37,0,37/67
17,56.72,2,67,38,0,38/67
18,61.19,5,67,41,0,41/67
19,43.28,4,67,29,0,29/67
2,55.22,5,67,37,0,37/67
20,56.72,2,67,38,0,38/67
21,44.78,4,67,30,0,30/67
22,47.76,5,67,32,0,32/67
23,50.75,5,67,34,0,34/67
24,52.24,4,67,35,0,35/67
25,59.7,3,67,40,0,40/67
26,53.73,5,67,36,0,36/67
27,40.3,6,67,27,0,27/67
28,62.69,6,67,42,0,42/67
29,44.78,6,67,30,0,30/67
3,49.25,2,67,33,0,33/67
30,59.7,5,67,40,0,40/67
31,46.27,3,67,31,0,31/67
32,52.24,8,67,35,0,35/67
33,47.76,6,67,32,0,32/67
34,58.21,6,67,39,0,39/67
35,49.25,5,67,33,0,33/67
36,50.75,5,67,34,0,34/67
37,53.73,4,67,36,0,36/67
38,46.27,3,67,31,0,31/67
39,55.22,3,67,37,0,37/67
4,46.27,6,67,31,0,31/67
40,52.24,2,67,35,0,35/67
5,55.22,4,67,37,0,37/67
6,55.22,5,67,37,0,37/67
7,58.21,5,67,39,0,39/67
8,47.76,6,67,32,0,32/67
9,61.19,4,67,41,0,41/67
