Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,90.0,9/10,0,1,0
2,50.0,5/10,0,0,0
3,30.0,3/10,0,0,0
4,50.0,5/10,0,1,0
6,70.0,7/10,0,1,0
8,70.0,7/10,0,1,0
9,20.0,2/10,0,0,0
10,50.0,5/10,0,0,0
11,40.0,4/10,0,1,0
12,70.0,7/10,0,0,0
13,70.0,7/10,0,1,0
14,20.0,2/10,0,0,0
15,50.0,5/10,0,0,0
16,30.0,3/10,0,1,0
17,50.0,5/10,0,1,0
18,60.0,6/10,0,1,0
19,90.0,9/10,0,1,0
20,20.0,2/10,0,0,0
21,40.0,4/10,0,0,0
22,10.0,1/10,0,0,0
23,50.0,5/10,0,0,0
24,20.0,2/10,0,0,0
25,80.0,8/10,0,1,0
26,40.0,4/10,0,1,0
27,30.0,3/10,0,1,0
28,50.0,5/10,0,0,0
29,80.0,8/10,0,1,0
30,40.0,4/10,0,0,0
31,50.0,5/10,0,1,0
32,60.0,6/10,0,0,0
34,60.0,6/10,0,1,0
35,30.0,3/10,0,0,0
36,60.0,6/10,0,0,0
37,50.0,5/10,0,1,0
38,60.0,6/10,0,1,0
39,50.0,5/10,0,0,0
40,20.0,2/10,0,0,0
41,50.0,5/10,0,0,0
42,10.0,1/10,0,0,0
45,0.0,0/10,0,0,0
46,60.0,6/10,0,1,0
47,50.0,5/10,0,1,0
48,30.0,3/10,0,0,0
49,60.0,6/10,0,0,0
50,60.0,6/10,0,0,0
51,60.0,6/10,0,1,0
52,30.0,3/10,0,1,0
55,20.0,2/10,0,0,0
56,30.0,3/10,0,1,0
59,60.0,6/10,0,0,0
60,40.0,4/10,0,0,0
61,20.0,2/10,0,0,0
63,30.0,3/10,0,0,0
64,40.0,4/10,0,1,0
65,50.0,5/10,0,1,0
66,30.0,3/10,0,0,0
67,10.0,1/10,0,0,0
69,40.0,4/10,0,1,0
70,40.0,4/10,0,1,0
71,30.0,3/10,0,0,0
72,20.0,2/10,0,0,0
74,30.0,3/10,0,1,0
75,70.0,7/10,0,1,0
76,50.0,5/10,1,0,0
77,20.0,2/10,0,0,0
79,60.0,6/10,0,0,0
80,10.0,1/10,0,0,0
