instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,43.28,0,67,29,0,29/67,37.84,35.71,71.43,60.0,50.0
10,44.78,0,67,30,0,30/67,40.54,35.71,57.14,80.0,50.0
2,37.31,1,67,25,0,25/67,40.54,42.86,28.57,40.0,0.0
3,41.79,0,67,28,0,28/67,45.95,28.57,42.86,40.0,50.0
4,46.27,0,67,31,0,31/67,40.54,42.86,57.14,60.0,75.0
5,43.28,0,67,29,0,29/67,37.84,50.0,28.57,80.0,50.0
6,52.24,0,67,35,0,35/67,40.54,71.43,57.14,80.0,50.0
7,41.79,0,67,28,0,28/67,43.24,42.86,42.86,40.0,25.0
8,43.28,0,67,29,0,29/67,48.65,42.86,28.57,20.0,50.0
9,41.79,0,67,28,0,28/67,29.73,57.14,28.57,80.0,75.0
