Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,10/10,0,1,0
2,40.0,4/10,0,1,0
3,30.0,3/10,0,0,0
4,40.0,4/10,0,0,0
6,80.0,8/10,0,0,0
8,100.0,10/10,0,1,0
9,60.0,6/10,0,1,0
10,40.0,4/10,0,0,0
11,60.0,6/10,0,1,0
12,60.0,6/10,0,1,0
13,40.0,4/10,0,0,0
14,40.0,4/10,0,0,0
15,20.0,2/10,0,0,0
16,30.0,3/10,1,0,0
17,30.0,3/10,0,1,0
18,10.0,1/10,0,0,0
19,70.0,7/10,0,0,0
20,20.0,2/10,0,0,0
21,20.0,2/10,0,0,0
22,40.0,4/10,0,1,0
23,30.0,3/10,0,0,0
24,20.0,2/10,0,0,0
25,90.0,9/10,0,1,0
26,30.0,3/10,0,0,0
27,30.0,3/10,0,0,0
28,40.0,4/10,0,0,0
29,60.0,6/10,0,1,0
30,10.0,1/10,0,0,0
31,60.0,6/10,0,0,0
32,40.0,4/10,0,0,0
34,40.0,4/10,0,1,0
35,30.0,3/10,0,0,0
36,70.0,7/10,0,0,0
37,30.0,3/10,1,0,0
38,40.0,4/10,0,1,0
39,40.0,4/10,0,1,0
40,20.0,2/10,0,0,0
41,20.0,2/10,0,1,0
42,30.0,3/10,0,0,0
45,20.0,2/10,0,0,0
46,80.0,8/10,0,1,0
47,60.0,6/10,0,0,0
48,30.0,3/10,0,0,0
49,60.0,6/10,0,0,0
50,60.0,6/10,0,1,0
51,70.0,7/10,0,0,0
52,40.0,4/10,0,0,0
55,30.0,3/10,0,0,0
56,10.0,1/10,0,0,0
59,60.0,6/10,0,1,0
60,10.0,1/10,0,0,0
61,20.0,2/10,0,0,0
63,30.0,3/10,0,0,0
64,10.0,1/10,0,0,0
65,30.0,3/10,0,0,0
66,30.0,3/10,0,1,0
67,30.0,3/10,0,0,0
69,10.0,1/10,0,1,0
70,50.0,5/10,0,1,0
71,10.0,1/10,0,0,0
72,30.0,3/10,0,0,0
74,30.0,3/10,0,0,0
75,20.0,2/10,0,0,0
76,20.0,2/10,1,0,0
77,20.0,2/10,0,0,0
79,40.0,4/10,0,1,0
80,10.0,1/10,0,0,0
