instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,31.34,0,67,21,0,21/67,29.73,42.86,14.29,40.0,25.0
10,44.78,0,67,30,0,30/67,48.65,35.71,42.86,40.0,50.0
2,35.82,0,67,24,0,24/67,37.84,35.71,14.29,60.0,25.0
3,44.78,0,67,30,0,30/67,45.95,42.86,42.86,60.0,25.0
4,38.81,2,67,26,0,26/67,27.03,35.71,71.43,80.0,50.0
5,29.85,0,67,20,0,20/67,27.03,21.43,28.57,60.0,50.0
6,44.78,0,67,30,0,30/67,48.65,28.57,28.57,80.0,50.0
7,29.85,0,67,20,0,20/67,32.43,14.29,14.29,40.0,75.0
8,38.81,1,67,26,0,26/67,35.14,35.71,57.14,60.0,25.0
9,46.27,0,67,31,0,31/67,43.24,64.29,28.57,60.0,25.0
