instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total
1,43.28,0,67,29,0,29/67
10,41.79,0,67,28,0,28/67
11,46.27,0,67,31,0,31/67
12,41.79,0,67,28,0,28/67
13,43.28,0,67,29,0,29/67
14,34.33,0,67,23,0,23/67
15,46.27,1,67,31,0,31/67
16,58.21,1,67,39,0,39/67
17,58.21,0,67,39,0,39/67
18,49.25,0,67,33,0,33/67
19,38.81,1,67,26,0,26/67
2,43.28,1,67,29,0,29/67
20,43.28,1,67,29,0,29/67
21,46.27,2,67,31,0,31/67
22,47.76,0,67,32,0,32/67
23,32.84,1,67,22,0,22/67
24,46.27,0,67,31,0,31/67
25,43.28,1,67,29,0,29/67
26,43.28,1,67,29,0,29/67
27,44.78,0,67,30,0,30/67
28,47.76,0,67,32,0,32/67
29,47.76,0,67,32,0,32/67
3,50.75,1,67,34,0,34/67
30,40.3,1,67,27,0,27/67
31,38.81,1,67,26,0,26/67
32,44.78,1,67,30,0,30/67
33,35.82,1,67,24,0,24/67
34,35.82,0,67,24,0,24/67
35,55.22,1,67,37,0,37/67
36,43.28,0,67,29,0,29/67
37,47.76,0,67,32,0,32/67
38,38.81,1,67,26,0,26/67
39,58.21,0,67,39,0,39/67
4,46.27,0,67,31,0,31/67
40,40.3,0,67,27,0,27/67
41,55.22,0,67,37,0,37/67
42,50.75,0,67,34,0,34/67
43,41.79,0,67,28,0,28/67
44,41.79,0,67,28,0,28/67
45,44.78,0,67,30,0,30/67
46,41.79,0,67,28,0,28/67
47,52.24,1,67,35,0,35/67
48,43.28,0,67,29,0,29/67
49,41.79,2,67,28,0,28/67
5,46.27,1,67,31,0,31/67
50,46.27,1,67,31,0,31/67
6,50.75,1,67,34,0,34/67
7,32.84,0,67,22,0,22/67
8,46.27,1,67,31,0,31/67
9,46.27,0,67,31,0,31/67
