Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,60.0,6/10,1,1,0
2,20.0,2/10,2,0,0
3,50.0,5/10,0,0,0
4,70.0,7/10,0,0,0
6,50.0,5/10,2,1,0
8,20.0,2/10,0,0,0
9,20.0,2/10,1,0,0
10,40.0,4/10,0,0,0
11,60.0,6/10,0,1,0
12,20.0,2/10,0,0,0
13,20.0,2/10,2,0,0
14,10.0,1/10,0,0,0
15,60.0,6/10,0,1,0
16,50.0,5/10,1,1,0
17,40.0,4/10,0,0,0
18,0.0,0/10,3,0,0
19,20.0,2/10,0,0,0
20,40.0,4/10,0,1,0
21,20.0,2/10,0,0,0
22,10.0,1/10,2,0,0
23,50.0,5/10,0,0,0
24,30.0,3/10,1,1,0
25,90.0,9/10,0,1,0
26,50.0,5/10,0,1,0
27,0.0,0/10,6,0,0
28,30.0,3/10,0,1,0
29,60.0,6/10,0,1,0
30,10.0,1/10,0,0,0
31,10.0,1/10,2,0,0
32,20.0,2/10,3,0,0
34,30.0,3/10,0,0,0
35,40.0,4/10,1,0,0
36,40.0,4/10,0,1,0
37,30.0,3/10,0,1,0
38,40.0,4/10,0,0,0
39,50.0,5/10,3,0,0
40,40.0,4/10,0,0,0
41,10.0,1/10,1,1,0
42,10.0,1/10,1,0,0
45,30.0,3/10,1,0,0
46,30.0,3/10,0,0,0
47,10.0,1/10,1,0,0
48,30.0,3/10,0,0,0
49,40.0,4/10,3,0,0
50,90.0,9/10,0,1,0
51,50.0,5/10,0,0,0
52,10.0,1/10,1,0,0
55,10.0,1/10,2,0,0
56,20.0,2/10,0,0,0
59,30.0,3/10,1,0,0
60,20.0,2/10,3,0,0
61,10.0,1/10,0,0,0
63,20.0,2/10,4,0,0
64,30.0,3/10,0,1,0
65,40.0,4/10,1,1,0
66,30.0,3/10,1,1,0
67,10.0,1/10,3,0,0
69,30.0,3/10,0,0,0
70,30.0,3/10,0,1,0
71,20.0,2/10,1,0,0
72,40.0,4/10,1,0,0
74,20.0,2/10,0,1,0
75,10.0,1/10,0,0,0
76,20.0,2/10,1,0,0
77,20.0,2/10,1,0,0
79,20.0,2/10,1,0,0
80,10.0,1/10,1,0,0
