instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,29.85,9,67,20,0,20/67,24.32,21.43,57.14,40.0,50.0
10,32.84,5,67,22,0,22/67,35.14,14.29,42.86,60.0,25.0
2,31.34,4,67,21,0,21/67,40.54,14.29,0.0,40.0,50.0
3,32.84,7,67,22,0,22/67,37.84,14.29,42.86,40.0,25.0
4,29.85,3,67,20,0,20/67,18.92,35.71,42.86,80.0,25.0
5,23.88,9,67,16,0,16/67,21.62,35.71,14.29,40.0,0.0
6,29.85,5,67,20,0,20/67,29.73,14.29,42.86,40.0,50.0
7,31.34,4,67,21,0,21/67,32.43,28.57,14.29,60.0,25.0
8,34.33,6,67,23,0,23/67,35.14,21.43,42.86,80.0,0.0
9,29.85,7,67,20,0,20/67,24.32,35.71,42.86,20.0,50.0
