Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,10/10,0,1,0
2,30.0,3/10,4,0,0
3,20.0,2/10,0,0,0
4,70.0,7/10,1,1,0
6,80.0,8/10,0,1,0
8,70.0,7/10,1,1,0
9,30.0,3/10,3,0,0
10,20.0,2/10,0,0,0
11,50.0,5/10,0,0,0
12,20.0,2/10,4,0,0
13,70.0,7/10,2,0,0
14,40.0,4/10,2,0,0
15,30.0,3/10,1,0,0
16,40.0,4/10,3,1,0
17,40.0,4/10,3,1,0
18,10.0,1/10,2,0,0
19,80.0,8/10,1,1,0
20,40.0,4/10,3,0,0
21,20.0,2/10,0,0,0
22,10.0,1/10,3,0,0
23,0.0,0/10,4,0,0
24,20.0,2/10,3,0,0
25,90.0,9/10,1,1,0
26,40.0,4/10,2,0,0
27,20.0,2/10,1,0,0
28,20.0,2/10,5,0,0
29,70.0,7/10,0,1,0
30,10.0,1/10,1,0,0
31,40.0,4/10,2,0,0
32,20.0,2/10,1,0,0
34,40.0,4/10,0,1,0
35,40.0,4/10,1,1,0
36,50.0,5/10,0,0,0
37,40.0,4/10,3,1,0
38,30.0,3/10,1,0,0
39,30.0,3/10,2,0,0
40,0.0,0/10,0,0,0
41,40.0,4/10,4,0,0
42,50.0,5/10,3,0,0
45,10.0,1/10,2,0,0
46,40.0,4/10,2,0,0
47,10.0,1/10,7,0,0
48,20.0,2/10,2,0,0
49,0.0,0/10,1,0,0
50,90.0,9/10,0,1,0
51,70.0,7/10,0,0,0
52,50.0,5/10,0,1,0
55,20.0,2/10,0,0,0
56,50.0,5/10,1,1,0
59,40.0,4/10,0,1,0
60,30.0,3/10,1,0,0
61,30.0,3/10,3,0,0
63,70.0,7/10,1,0,0
64,40.0,4/10,1,0,0
65,70.0,7/10,0,1,0
66,0.0,0/10,3,0,0
67,10.0,1/10,1,0,0
69,20.0,2/10,4,1,0
70,10.0,1/10,2,0,0
71,40.0,4/10,1,0,0
72,30.0,3/10,1,1,0
74,0.0,0/10,3,0,0
75,80.0,8/10,0,1,0
76,20.0,2/10,6,0,0
77,30.0,3/10,1,1,0
79,10.0,1/10,4,0,0
80,10.0,1/10,1,1,0
