instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,32.84,7,67,22,0,22/67,27.03,42.86,28.57,60.0,25.0
10,29.85,4,67,20,0,20/67,16.22,50.0,42.86,60.0,25.0
2,31.34,9,67,21,0,21/67,29.73,28.57,57.14,20.0,25.0
3,40.3,14,67,27,0,27/67,40.54,21.43,57.14,60.0,50.0
4,34.33,14,67,23,0,23/67,27.03,28.57,42.86,60.0,75.0
5,40.3,10,67,27,0,27/67,51.35,35.71,14.29,40.0,0.0
6,41.79,11,67,28,0,28/67,45.95,21.43,28.57,60.0,75.0
7,35.82,14,67,24,0,24/67,29.73,28.57,42.86,80.0,50.0
8,37.31,14,67,25,0,25/67,21.62,64.29,57.14,80.0,0.0
9,37.31,18,67,25,0,25/67,35.14,14.29,57.14,80.0,50.0
