Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,70.0,7/10,0,1,0
2,20.0,2/10,1,0,0
3,20.0,2/10,1,0,0
4,60.0,6/10,0,1,0
6,70.0,7/10,0,1,0
8,80.0,8/10,0,1,0
9,10.0,1/10,1,0,0
10,40.0,4/10,0,1,0
11,30.0,3/10,0,0,0
12,40.0,4/10,2,0,0
13,10.0,1/10,4,0,0
14,60.0,6/10,2,0,0
15,30.0,3/10,1,1,0
16,10.0,1/10,6,0,0
17,60.0,6/10,1,1,0
18,20.0,2/10,4,0,0
19,90.0,9/10,0,1,0
20,60.0,6/10,0,0,0
21,0.0,0/10,0,0,0
22,10.0,1/10,1,0,0
23,0.0,0/10,5,0,0
24,30.0,3/10,0,0,0
25,90.0,9/10,0,1,0
26,30.0,3/10,2,0,0
27,20.0,2/10,1,0,0
28,10.0,1/10,6,0,0
29,80.0,8/10,0,1,0
30,40.0,4/10,0,0,0
31,40.0,4/10,0,0,0
32,50.0,5/10,0,0,0
34,50.0,5/10,0,1,0
35,50.0,5/10,1,1,0
36,40.0,4/10,0,0,0
37,10.0,1/10,5,0,0
38,40.0,4/10,0,0,0
39,20.0,2/10,1,0,0
40,0.0,0/10,1,0,0
41,20.0,2/10,2,0,0
42,40.0,4/10,1,0,0
45,20.0,2/10,2,1,0
46,80.0,8/10,1,0,0
47,10.0,1/10,6,0,0
48,40.0,4/10,1,0,0
49,20.0,2/10,0,1,0
50,60.0,6/10,0,0,0
51,50.0,5/10,1,1,0
52,60.0,6/10,0,0,0
55,20.0,2/10,0,0,0
56,60.0,6/10,0,1,0
59,40.0,4/10,1,0,0
60,20.0,2/10,5,0,0
61,30.0,3/10,1,0,0
63,20.0,2/10,0,1,0
64,10.0,1/10,2,0,0
65,30.0,3/10,0,1,0
66,40.0,4/10,0,1,0
67,20.0,2/10,0,1,0
69,20.0,2/10,1,0,0
70,50.0,5/10,1,1,0
71,40.0,4/10,5,1,0
72,50.0,5/10,0,1,0
74,0.0,0/10,1,0,0
75,60.0,6/10,1,1,0
76,30.0,3/10,3,0,0
77,20.0,2/10,0,1,0
79,40.0,4/10,1,0,0
80,10.0,1/10,6,0,0
