instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,37.31,12,67,25,0,25/67,40.54,28.57,42.86,60.0,0.0
10,29.85,8,67,20,0,20/67,24.32,35.71,28.57,60.0,25.0
2,38.81,7,67,26,0,26/67,40.54,35.71,14.29,60.0,50.0
3,40.3,9,67,27,0,27/67,35.14,42.86,42.86,100.0,0.0
4,32.84,8,67,22,0,22/67,24.32,42.86,28.57,40.0,75.0
5,29.85,11,67,20,0,20/67,29.73,50.0,14.29,20.0,0.0
6,40.3,10,67,27,0,27/67,40.54,42.86,14.29,40.0,75.0
7,32.84,10,67,22,0,22/67,32.43,35.71,42.86,0.0,50.0
8,38.81,8,67,26,0,26/67,40.54,42.86,42.86,40.0,0.0
9,37.31,5,67,25,0,25/67,27.03,42.86,71.43,60.0,25.0
