Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,10/10,0,1,0
2,10.0,1/10,5,0,0
3,10.0,1/10,0,0,0
4,60.0,6/10,2,1,0
6,90.0,9/10,0,1,0
8,60.0,6/10,0,1,0
9,20.0,2/10,1,0,0
10,20.0,2/10,0,0,0
11,30.0,3/10,2,0,0
12,70.0,7/10,1,0,0
13,40.0,4/10,1,1,0
14,20.0,2/10,0,0,0
15,40.0,4/10,0,0,0
16,10.0,1/10,6,0,0
17,60.0,6/10,2,1,0
18,20.0,2/10,2,0,0
19,80.0,8/10,1,1,0
20,80.0,8/10,0,1,0
21,0.0,0/10,0,0,0
22,20.0,2/10,2,0,0
23,30.0,3/10,4,0,0
24,20.0,2/10,2,0,0
25,80.0,8/10,0,1,0
26,40.0,4/10,2,0,0
27,20.0,2/10,1,0,0
28,30.0,3/10,5,0,0
29,90.0,9/10,0,1,0
30,30.0,3/10,2,1,0
31,60.0,6/10,0,0,0
32,50.0,5/10,0,0,0
34,30.0,3/10,0,0,0
35,20.0,2/10,3,1,0
36,80.0,8/10,0,1,0
37,10.0,1/10,5,0,0
38,40.0,4/10,1,0,0
39,20.0,2/10,1,0,0
40,0.0,0/10,1,0,0
41,30.0,3/10,0,0,0
42,40.0,4/10,3,0,0
45,10.0,1/10,0,0,0
46,50.0,5/10,2,0,0
47,30.0,3/10,4,0,0
48,10.0,1/10,0,0,0
49,10.0,1/10,1,0,0
50,90.0,9/10,0,0,0
51,70.0,7/10,0,1,0
52,40.0,4/10,0,0,0
55,20.0,2/10,2,0,0
56,40.0,4/10,1,1,0
59,40.0,4/10,2,0,0
60,10.0,1/10,2,0,0
61,20.0,2/10,4,0,0
63,50.0,5/10,3,0,0
64,40.0,4/10,2,0,0
65,20.0,2/10,2,1,0
66,30.0,3/10,3,0,0
67,10.0,1/10,0,1,0
69,40.0,4/10,0,0,0
70,20.0,2/10,2,0,0
71,30.0,3/10,1,1,0
72,60.0,6/10,3,1,0
74,10.0,1/10,2,0,0
75,30.0,3/10,0,0,0
76,0.0,0/10,4,0,0
77,30.0,3/10,0,0,0
79,20.0,2/10,4,0,0
80,0.0,0/10,1,0,0
