instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,28.36,10,67,19,0,19/67,27.03,28.57,14.29,60.0,25.0
10,35.82,7,67,24,0,24/67,24.32,57.14,57.14,40.0,25.0
2,44.78,14,67,30,0,30/67,43.24,50.0,28.57,60.0,50.0
3,41.79,11,67,28,0,28/67,40.54,57.14,28.57,40.0,25.0
4,37.31,8,67,25,0,25/67,37.84,35.71,28.57,60.0,25.0
5,32.84,10,67,22,0,22/67,29.73,28.57,42.86,60.0,25.0
6,37.31,10,67,25,0,25/67,35.14,28.57,14.29,80.0,75.0
7,28.36,10,67,19,0,19/67,21.62,28.57,28.57,60.0,50.0
8,28.36,9,67,19,0,19/67,24.32,21.43,57.14,40.0,25.0
9,41.79,11,67,28,0,28/67,32.43,57.14,57.14,40.0,50.0
