Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,10.0,1/10,0,0,0
2,30.0,3/10,0,0,0
3,30.0,3/10,0,0,0
4,10.0,1/10,0,0,0
6,40.0,4/10,0,1,0
8,0.0,0/10,1,0,0
9,20.0,2/10,1,0,0
10,40.0,4/10,0,0,0
11,50.0,5/10,1,1,0
12,10.0,1/10,4,1,0
13,10.0,1/10,1,0,0
14,50.0,5/10,1,0,0
15,0.0,0/10,4,0,0
16,0.0,0/10,2,0,0
17,10.0,1/10,5,0,0
18,50.0,5/10,1,1,0
19,50.0,5/10,2,1,0
20,40.0,4/10,0,1,0
21,10.0,1/10,0,0,0
22,40.0,4/10,4,0,0
23,20.0,2/10,0,0,0
24,40.0,4/10,0,1,0
25,60.0,6/10,0,1,0
26,20.0,2/10,2,0,0
27,40.0,4/10,0,1,0
28,80.0,8/10,0,1,0
29,0.0,0/10,0,0,0
30,30.0,3/10,0,0,0
31,60.0,6/10,0,0,0
32,60.0,6/10,0,0,0
34,40.0,4/10,2,1,0
35,30.0,3/10,0,1,0
36,40.0,4/10,2,1,0
37,20.0,2/10,0,0,0
38,30.0,3/10,1,0,0
39,10.0,1/10,0,0,0
40,30.0,3/10,0,0,0
41,50.0,5/10,0,0,0
42,30.0,3/10,0,0,0
45,40.0,4/10,0,0,0
46,10.0,1/10,0,0,0
47,40.0,4/10,1,0,0
48,20.0,2/10,4,0,0
49,20.0,2/10,2,0,0
50,10.0,1/10,0,0,0
51,40.0,4/10,0,0,0
52,60.0,6/10,0,1,0
55,10.0,1/10,3,0,0
56,0.0,0/10,0,0,0
59,50.0,5/10,3,0,0
60,0.0,0/10,4,0,0
61,20.0,2/10,3,0,0
63,10.0,1/10,1,0,0
64,20.0,2/10,1,0,0
65,0.0,0/10,6,0,0
66,30.0,3/10,2,0,0
67,10.0,1/10,6,0,0
69,20.0,2/10,3,0,0
70,30.0,3/10,0,0,0
71,30.0,3/10,3,0,0
72,40.0,4/10,1,0,0
74,20.0,2/10,2,0,0
75,20.0,2/10,0,0,0
76,10.0,1/10,0,0,0
77,40.0,4/10,0,1,0
79,50.0,5/10,0,0,0
80,30.0,3/10,3,0,0
