instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,22.39,11,67,15,0,15/67,18.92,21.43,42.86,20.0,25.0
10,20.9,8,67,14,0,14/67,21.62,21.43,28.57,20.0,0.0
2,32.84,11,67,22,0,22/67,24.32,35.71,71.43,40.0,25.0
3,26.87,8,67,18,0,18/67,29.73,28.57,28.57,0.0,25.0
4,25.37,4,67,17,0,17/67,27.03,28.57,42.86,0.0,0.0
5,28.36,9,67,19,0,19/67,21.62,28.57,42.86,60.0,25.0
6,28.36,10,67,19,0,19/67,32.43,28.57,28.57,0.0,25.0
7,35.82,4,67,24,0,24/67,24.32,50.0,42.86,60.0,50.0
8,28.36,8,67,19,0,19/67,27.03,28.57,28.57,20.0,50.0
9,29.85,9,67,20,0,20/67,27.03,28.57,42.86,20.0,50.0
