Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,0.0,0/10,4,0,0
2,60.0,6/10,1,0,0
3,50.0,5/10,0,0,0
4,10.0,1/10,4,0,0
6,10.0,1/10,2,0,0
8,0.0,0/10,9,0,0
9,10.0,1/10,1,0,0
10,30.0,3/10,1,0,0
11,30.0,3/10,0,1,0
12,20.0,2/10,0,0,0
13,10.0,1/10,0,0,0
14,30.0,3/10,2,0,0
15,0.0,0/10,5,0,0
16,20.0,2/10,2,0,0
17,30.0,3/10,0,1,0
18,30.0,3/10,0,0,0
19,0.0,0/10,4,0,0
20,10.0,1/10,1,0,0
21,0.0,0/10,4,0,0
22,10.0,1/10,8,0,0
23,0.0,0/10,1,0,0
24,10.0,1/10,3,0,0
25,30.0,3/10,0,1,0
26,10.0,1/10,7,0,0
27,20.0,2/10,1,1,0
28,10.0,1/10,6,0,0
29,30.0,3/10,3,1,0
30,30.0,3/10,0,0,0
31,10.0,1/10,2,0,0
32,20.0,2/10,0,0,0
34,30.0,3/10,1,0,0
35,40.0,4/10,0,0,0
36,30.0,3/10,0,0,0
37,30.0,3/10,0,0,0
38,40.0,4/10,1,0,0
39,20.0,2/10,3,1,0
40,30.0,3/10,2,1,0
41,20.0,2/10,3,0,0
42,30.0,3/10,0,0,0
45,0.0,0/10,4,0,0
46,10.0,1/10,4,0,0
47,10.0,1/10,4,0,0
48,20.0,2/10,0,0,0
49,10.0,1/10,5,1,0
50,30.0,3/10,0,1,0
51,40.0,4/10,1,0,0
52,40.0,4/10,0,0,0
55,40.0,4/10,0,0,0
56,20.0,2/10,0,0,0
59,20.0,2/10,2,0,0
60,20.0,2/10,0,0,0
61,30.0,3/10,1,0,0
63,10.0,1/10,0,0,0
64,10.0,1/10,0,0,0
65,0.0,0/10,9,0,0
66,20.0,2/10,0,0,0
67,20.0,2/10,7,0,0
69,40.0,4/10,2,1,0
70,20.0,2/10,1,0,0
71,30.0,3/10,3,0,0
72,20.0,2/10,2,0,0
74,10.0,1/10,5,0,0
75,0.0,0/10,0,0,0
76,10.0,1/10,4,0,0
77,30.0,3/10,1,0,0
79,10.0,1/10,1,0,0
80,10.0,1/10,3,0,0
