instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,14.93,13,67,10,0,10/67,16.22,14.29,28.57,0.0,0.0
10,16.42,17,67,11,0,11/67,18.92,7.14,0.0,40.0,25.0
2,16.42,17,67,11,0,11/67,16.22,7.14,14.29,20.0,50.0
3,19.4,17,67,13,0,13/67,18.92,28.57,0.0,40.0,0.0
4,19.4,9,67,13,0,13/67,16.22,28.57,14.29,20.0,25.0
5,20.9,12,67,14,0,14/67,16.22,28.57,0.0,60.0,25.0
6,29.85,15,67,20,0,20/67,29.73,28.57,14.29,20.0,75.0
7,22.39,7,67,15,0,15/67,18.92,28.57,14.29,0.0,75.0
8,25.37,18,67,17,0,17/67,27.03,14.29,28.57,40.0,25.0
9,13.43,15,67,9,0,9/67,8.11,28.57,0.0,20.0,25.0
