Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,50.0,5/10,1,0,0
2,20.0,2/10,1,0,0
3,50.0,5/10,0,0,0
4,10.0,1/10,1,0,0
6,50.0,5/10,0,0,0
8,20.0,2/10,0,1,0
9,40.0,4/10,0,1,0
10,30.0,3/10,0,0,0
11,60.0,6/10,0,1,0
12,30.0,3/10,1,0,0
13,20.0,2/10,1,0,0
14,10.0,1/10,1,0,0
15,30.0,3/10,0,0,0
16,30.0,3/10,1,0,0
17,60.0,6/10,0,1,0
18,20.0,2/10,1,1,0
19,40.0,4/10,0,1,0
20,20.0,2/10,0,0,0
21,30.0,3/10,3,0,0
22,50.0,5/10,0,1,0
23,40.0,4/10,1,0,0
24,20.0,2/10,0,0,0
25,40.0,4/10,0,1,0
26,30.0,3/10,0,0,0
27,20.0,2/10,0,1,0
28,50.0,5/10,0,0,0
29,50.0,5/10,0,0,0
30,20.0,2/10,0,0,0
31,50.0,5/10,0,0,0
32,30.0,3/10,0,0,0
34,30.0,3/10,0,0,0
35,50.0,5/10,0,1,0
36,50.0,5/10,0,0,0
37,30.0,3/10,1,1,0
38,50.0,5/10,0,1,0
39,10.0,1/10,0,0,0
40,20.0,2/10,1,0,0
41,60.0,6/10,0,1,0
42,40.0,4/10,1,0,0
45,50.0,5/10,0,0,0
46,20.0,2/10,0,0,0
47,20.0,2/10,0,0,0
48,10.0,1/10,2,0,0
49,20.0,2/10,3,1,0
50,20.0,2/10,0,0,0
51,30.0,3/10,0,0,0
52,30.0,3/10,0,1,0
55,10.0,1/10,4,0,0
56,20.0,2/10,0,0,0
59,60.0,6/10,0,0,0
60,30.0,3/10,0,1,0
61,40.0,4/10,0,0,0
63,10.0,1/10,0,0,0
64,20.0,2/10,0,0,0
65,20.0,2/10,0,0,0
66,10.0,1/10,2,0,0
67,30.0,3/10,0,0,0
69,40.0,4/10,0,0,0
70,40.0,4/10,0,1,0
71,50.0,5/10,0,0,0
72,20.0,2/10,1,0,0
74,20.0,2/10,2,1,0
75,0.0,0/10,1,0,0
76,40.0,4/10,0,1,0
77,20.0,2/10,1,0,0
79,30.0,3/10,1,0,0
80,10.0,1/10,2,0,0
