instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,28.36,3,67,19,0,19/67,35.14,14.29,28.57,0.0,50.0
10,25.37,5,67,17,0,17/67,27.03,21.43,28.57,20.0,25.0
2,37.31,7,67,25,0,25/67,37.84,42.86,14.29,40.0,50.0
3,35.82,4,67,24,0,24/67,32.43,35.71,28.57,60.0,50.0
4,28.36,2,67,19,0,19/67,21.62,14.29,57.14,60.0,50.0
5,28.36,0,67,19,0,19/67,21.62,57.14,14.29,40.0,0.0
6,28.36,3,67,19,0,19/67,32.43,21.43,14.29,20.0,50.0
7,35.82,3,67,24,0,24/67,24.32,42.86,57.14,60.0,50.0
8,31.34,3,67,21,0,21/67,27.03,42.86,28.57,40.0,25.0
9,31.34,4,67,21,0,21/67,24.32,42.86,28.57,20.0,75.0
