Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,10.0,1/10,5,0,0
2,10.0,1/10,8,0,0
3,30.0,3/10,2,0,0
4,20.0,2/10,7,0,0
6,40.0,4/10,3,0,0
8,30.0,3/10,4,0,0
9,10.0,1/10,8,1,0
10,20.0,2/10,6,0,0
11,20.0,2/10,1,1,0
12,30.0,3/10,2,1,0
13,10.0,1/10,7,0,0
14,10.0,1/10,8,0,0
15,50.0,5/10,4,1,0
16,10.0,1/10,3,0,0
17,50.0,5/10,4,1,0
18,30.0,3/10,5,0,0
19,20.0,2/10,8,0,0
20,40.0,4/10,3,0,0
21,10.0,1/10,2,0,0
22,0.0,0/10,7,0,0
23,30.0,3/10,2,0,0
24,10.0,1/10,4,0,0
25,30.0,3/10,3,0,0
26,40.0,4/10,1,0,0
27,20.0,2/10,2,1,0
28,50.0,5/10,2,0,0
29,30.0,3/10,1,0,0
30,40.0,4/10,0,1,0
31,30.0,3/10,2,0,0
32,40.0,4/10,3,0,0
34,0.0,0/10,8,0,0
35,20.0,2/10,4,0,0
36,60.0,6/10,0,0,0
37,0.0,0/10,4,0,0
38,40.0,4/10,1,0,0
39,10.0,1/10,7,0,0
40,30.0,3/10,5,1,0
41,40.0,4/10,2,1,0
42,0.0,0/10,8,0,0
45,20.0,2/10,7,0,0
46,0.0,0/10,8,0,0
47,40.0,4/10,4,0,0
48,0.0,0/10,6,0,0
49,10.0,1/10,3,0,0
50,60.0,6/10,0,0,0
51,10.0,1/10,6,0,0
52,30.0,3/10,0,1,0
55,0.0,0/10,10,0,0
56,10.0,1/10,2,0,0
59,50.0,5/10,1,1,0
60,0.0,0/10,9,0,0
61,50.0,5/10,4,0,0
63,30.0,3/10,0,0,0
64,10.0,1/10,1,0,0
65,40.0,4/10,1,1,0
66,0.0,0/10,4,0,0
67,40.0,4/10,1,0,0
69,30.0,3/10,6,1,0
70,40.0,4/10,0,1,0
71,40.0,4/10,1,0,0
72,40.0,4/10,3,0,0
74,10.0,1/10,5,0,0
75,0.0,0/10,7,0,0
76,30.0,3/10,3,0,0
77,30.0,3/10,3,0,0
79,50.0,5/10,0,0,0
80,10.0,1/10,6,0,0
