instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,20.9,29,67,14,0,14/67,21.62,35.71,14.29,0.0,0.0
10,32.84,27,67,22,0,22/67,37.84,21.43,42.86,20.0,25.0
2,25.37,19,67,17,0,17/67,27.03,28.57,14.29,20.0,25.0
3,31.34,29,67,21,0,21/67,27.03,35.71,42.86,40.0,25.0
4,25.37,33,67,17,0,17/67,16.22,21.43,42.86,40.0,75.0
5,17.91,27,67,12,0,12/67,10.81,28.57,28.57,20.0,25.0
6,23.88,22,67,16,0,16/67,24.32,21.43,28.57,20.0,25.0
7,20.9,30,67,14,0,14/67,18.92,14.29,0.0,40.0,75.0
8,25.37,22,67,17,0,17/67,18.92,42.86,28.57,20.0,25.0
9,22.39,19,67,15,0,15/67,21.62,28.57,0.0,0.0,75.0
