Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,90.0,9/10,0,1,0
2,100.0,10/10,0,1,0
3,90.0,9/10,0,1,0
4,90.0,9/10,0,1,0
6,80.0,8/10,0,1,0
8,50.0,5/10,0,0,0
9,60.0,6/10,0,1,0
10,70.0,7/10,0,1,0
11,60.0,6/10,0,0,0
12,70.0,7/10,0,1,0
13,80.0,8/10,0,1,0
14,20.0,2/10,1,0,0
15,30.0,3/10,0,0,0
16,90.0,9/10,0,1,0
17,70.0,7/10,0,1,0
18,40.0,4/10,0,1,0
19,80.0,8/10,0,1,0
20,80.0,8/10,0,1,0
21,60.0,6/10,0,1,0
22,60.0,6/10,0,1,0
23,50.0,5/10,0,1,0
24,20.0,2/10,0,0,0
25,100.0,10/10,0,1,0
26,70.0,7/10,0,1,0
27,70.0,7/10,0,1,0
28,80.0,8/10,0,0,0
29,100.0,10/10,0,1,0
30,10.0,1/10,0,0,0
31,80.0,8/10,0,1,0
32,70.0,7/10,0,1,0
34,70.0,7/10,0,1,0
35,80.0,8/10,0,1,0
36,90.0,9/10,0,1,0
37,40.0,4/10,0,0,0
38,80.0,8/10,0,1,0
39,50.0,5/10,0,1,0
40,70.0,7/10,0,1,0
41,100.0,10/10,0,1,0
42,70.0,7/10,0,1,0
45,50.0,5/10,0,0,0
46,80.0,8/10,0,1,0
47,50.0,5/10,0,0,0
48,80.0,8/10,0,1,0
49,60.0,6/10,0,1,0
50,80.0,8/10,0,1,0
51,60.0,6/10,0,0,0
52,50.0,5/10,0,1,0
55,20.0,2/10,0,0,0
56,90.0,9/10,0,1,0
59,50.0,5/10,0,0,0
60,50.0,5/10,0,0,0
61,40.0,4/10,0,0,0
63,70.0,7/10,0,1,0
64,100.0,10/10,0,1,0
65,90.0,9/10,0,1,0
66,100.0,10/10,0,1,0
67,40.0,4/10,0,1,0
69,40.0,4/10,0,0,0
70,40.0,4/10,0,0,0
71,80.0,8/10,0,0,0
72,30.0,3/10,0,0,0
74,20.0,2/10,0,1,0
75,70.0,7/10,0,1,0
76,70.0,7/10,0,1,0
77,30.0,3/10,0,0,0
79,80.0,8/10,0,0,0
80,60.0,6/10,0,1,0
