instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,68.66,0,67,46,0,46/67,64.86,71.43,71.43,100.0,50.0
10,64.18,0,67,43,0,43/67,56.76,64.29,71.43,100.0,75.0
2,64.18,0,67,43,0,43/67,59.46,57.14,71.43,100.0,75.0
3,65.67,0,67,44,0,44/67,62.16,78.57,85.71,40.0,50.0
4,58.21,0,67,39,0,39/67,45.95,71.43,71.43,100.0,50.0
5,71.64,0,67,48,0,48/67,67.57,78.57,85.71,80.0,50.0
6,58.21,0,67,39,0,39/67,54.05,42.86,85.71,80.0,75.0
7,64.18,0,67,43,0,43/67,54.05,64.29,100.0,100.0,50.0
8,68.66,0,67,46,0,46/67,59.46,85.71,71.43,100.0,50.0
9,65.67,1,67,44,0,44/67,56.76,71.43,57.14,100.0,100.0
