Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,10/10,0,1,0
2,100.0,10/10,0,1,0
3,90.0,9/10,0,1,0
4,80.0,8/10,0,1,0
6,100.0,10/10,0,1,0
8,100.0,10/10,0,1,0
9,70.0,7/10,0,1,0
10,90.0,9/10,0,1,0
11,70.0,7/10,0,1,0
12,100.0,10/10,0,1,0
13,100.0,10/10,0,1,0
14,70.0,7/10,0,1,0
15,90.0,9/10,0,1,0
16,100.0,10/10,0,1,0
17,80.0,8/10,0,1,0
18,70.0,7/10,0,1,0
19,90.0,9/10,0,1,0
20,90.0,9/10,0,1,0
21,90.0,9/10,0,0,0
22,60.0,6/10,0,1,0
23,80.0,8/10,0,1,0
24,40.0,4/10,0,1,0
25,100.0,10/10,0,1,0
26,90.0,9/10,0,1,0
27,60.0,6/10,0,1,0
28,80.0,8/10,0,1,0
29,100.0,10/10,0,1,0
30,80.0,8/10,0,0,0
31,100.0,10/10,0,1,0
32,100.0,10/10,0,1,0
34,90.0,9/10,0,1,0
35,100.0,10/10,0,1,0
36,60.0,6/10,0,0,0
37,60.0,6/10,0,1,0
38,90.0,9/10,0,1,0
39,100.0,10/10,0,1,0
40,100.0,10/10,0,1,0
41,80.0,8/10,0,1,0
42,100.0,10/10,0,1,0
45,80.0,8/10,0,1,0
46,100.0,10/10,0,1,0
47,100.0,10/10,0,1,0
48,70.0,7/10,0,1,0
49,100.0,10/10,0,1,0
50,90.0,9/10,0,0,0
51,60.0,6/10,0,0,0
52,90.0,9/10,0,1,0
55,100.0,10/10,0,1,0
56,80.0,8/10,0,1,0
59,100.0,10/10,0,1,0
60,50.0,5/10,0,1,0
61,80.0,8/10,0,1,0
63,70.0,7/10,0,1,0
64,100.0,10/10,0,1,0
65,100.0,10/10,0,1,0
66,100.0,10/10,0,1,0
67,20.0,2/10,0,1,0
69,100.0,10/10,0,1,0
70,50.0,5/10,0,1,0
71,90.0,9/10,0,1,0
72,100.0,10/10,0,1,0
74,50.0,5/10,0,1,0
75,80.0,8/10,0,1,0
76,100.0,10/10,0,1,0
77,40.0,4/10,0,1,0
79,90.0,9/10,0,1,0
80,90.0,9/10,0,1,0
