instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,92.54,0,67,62,0,62/67,91.89,92.86,100.0,100.0,75.0
10,76.12,0,67,51,0,51/67,75.68,92.86,57.14,80.0,50.0
2,85.07,0,67,57,0,57/67,81.08,85.71,100.0,100.0,75.0
3,82.09,0,67,55,0,55/67,75.68,92.86,85.71,80.0,100.0
4,82.09,0,67,55,0,55/67,78.38,92.86,71.43,100.0,75.0
5,85.07,0,67,57,0,57/67,91.89,85.71,57.14,100.0,50.0
6,83.58,0,67,56,0,56/67,78.38,92.86,85.71,100.0,75.0
7,82.09,0,67,55,0,55/67,81.08,85.71,100.0,80.0,50.0
8,82.09,0,67,55,0,55/67,75.68,92.86,85.71,100.0,75.0
9,89.55,0,67,60,0,60/67,81.08,100.0,100.0,100.0,100.0
