Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,10/10,0,1,0
2,100.0,10/10,0,1,0
3,100.0,10/10,0,1,0
4,80.0,8/10,0,1,0
6,100.0,10/10,0,1,0
8,100.0,10/10,0,1,0
9,50.0,5/10,0,1,0
10,100.0,10/10,0,1,0
11,70.0,7/10,0,0,0
12,100.0,10/10,0,1,0
13,90.0,9/10,0,1,0
14,80.0,8/10,0,1,0
15,100.0,10/10,0,1,0
16,100.0,10/10,0,1,0
17,70.0,7/10,0,1,0
18,60.0,6/10,0,1,0
19,100.0,10/10,0,1,0
20,100.0,10/10,0,1,0
21,90.0,9/10,0,1,0
22,40.0,4/10,0,1,0
23,100.0,10/10,0,1,0
24,10.0,1/10,0,0,0
25,100.0,10/10,0,1,0
26,100.0,10/10,0,1,0
27,80.0,8/10,0,1,0
28,100.0,10/10,0,1,0
29,100.0,10/10,0,1,0
30,60.0,6/10,0,1,0
31,100.0,10/10,0,1,0
32,100.0,10/10,0,1,0
34,90.0,9/10,0,1,0
35,100.0,10/10,0,1,0
36,60.0,6/10,0,0,0
37,20.0,2/10,0,0,0
38,60.0,6/10,0,1,0
39,80.0,8/10,0,1,0
40,100.0,10/10,0,1,0
41,80.0,8/10,0,1,0
42,100.0,10/10,0,1,0
45,50.0,5/10,0,1,0
46,100.0,10/10,0,1,0
47,100.0,10/10,0,1,0
48,100.0,10/10,0,1,0
49,90.0,9/10,0,1,0
50,90.0,9/10,0,1,0
51,70.0,7/10,0,0,0
52,90.0,9/10,0,0,0
55,90.0,9/10,0,1,0
56,80.0,8/10,0,1,0
59,100.0,10/10,0,1,0
60,40.0,4/10,0,1,0
61,60.0,6/10,0,0,0
63,80.0,8/10,0,1,0
64,90.0,9/10,0,1,0
65,100.0,10/10,0,1,0
66,100.0,10/10,0,1,0
67,30.0,3/10,0,1,0
69,100.0,10/10,0,1,0
70,50.0,5/10,0,1,0
71,80.0,8/10,0,1,0
72,90.0,9/10,0,1,0
74,40.0,4/10,0,1,0
75,30.0,3/10,0,1,0
76,100.0,10/10,0,1,0
77,40.0,4/10,0,1,0
79,100.0,10/10,0,1,0
80,80.0,8/10,0,0,0
