instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,88.06,0,67,59,0,59/67,89.19,92.86,100.0,100.0,25.0
10,85.07,0,67,57,0,57/67,86.49,85.71,85.71,80.0,75.0
2,82.09,0,67,55,0,55/67,78.38,92.86,85.71,100.0,50.0
3,79.1,0,67,53,0,53/67,72.97,100.0,71.43,100.0,50.0
4,82.09,0,67,55,0,55/67,81.08,85.71,71.43,100.0,75.0
5,79.1,0,67,53,0,53/67,83.78,85.71,57.14,80.0,50.0
6,80.6,0,67,54,0,54/67,78.38,92.86,57.14,100.0,75.0
7,76.12,0,67,51,0,51/67,78.38,78.57,71.43,100.0,25.0
8,80.6,0,67,54,0,54/67,75.68,92.86,100.0,100.0,25.0
9,79.1,0,67,53,0,53/67,72.97,92.86,85.71,100.0,50.0
