Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,40/40,0,1,0
2,100.0,40/40,0,1,0
3,97.5,39/40,0,1,0
4,85.0,34/40,0,1,0
6,100.0,40/40,0,1,0
8,95.0,38/40,0,1,0
9,52.5,21/40,0,1,0
10,85.0,34/40,0,1,0
11,75.0,30/40,0,1,0
12,92.5,37/40,0,0,0
13,65.0,26/40,0,1,0
14,82.5,33/40,0,1,0
15,85.0,34/40,0,1,0
16,97.5,39/40,0,1,0
17,95.0,38/40,0,1,0
18,55.0,22/40,0,1,0
19,92.5,37/40,0,1,0
20,95.0,38/40,0,1,0
21,90.0,36/40,0,1,0
22,67.5,27/40,0,1,0
23,90.0,36/40,0,1,0
24,62.5,25/40,0,1,0
25,87.5,35/40,0,1,0
26,95.0,38/40,0,1,0
27,82.5,33/40,0,1,0
28,92.5,37/40,0,1,0
29,100.0,40/40,0,1,0
30,47.5,19/40,0,0,0
31,100.0,40/40,0,1,0
32,97.5,39/40,0,1,0
34,97.5,39/40,0,1,0
35,100.0,40/40,0,1,0
36,100.0,40/40,0,1,0
37,50.0,20/40,0,1,0
38,92.5,37/40,0,1,0
39,87.5,35/40,0,1,0
40,95.0,38/40,0,0,0
41,100.0,40/40,0,1,0
42,100.0,40/40,0,1,0
45,62.5,25/40,0,1,0
46,95.0,38/40,0,1,0
47,95.0,38/40,0,1,0
48,97.5,39/40,0,1,0
49,85.0,34/40,5,1,5
50,92.5,37/40,0,0,0
51,52.5,21/40,0,0,0
52,90.0,36/40,0,0,0
55,100.0,40/40,0,1,0
56,92.5,37/40,0,1,0
59,100.0,40/40,0,1,0
60,30.0,12/40,0,1,0
61,75.0,30/40,0,1,0
63,77.5,31/40,0,1,0
64,100.0,40/40,0,1,0
65,95.0,38/40,0,1,0
66,97.5,39/40,0,1,0
67,25.0,10/40,0,0,0
69,97.5,39/40,0,1,0
70,60.0,24/40,0,1,0
71,95.0,38/40,0,1,0
72,95.0,38/40,0,1,0
74,27.5,11/40,0,0,0
75,77.5,31/40,0,0,0
76,95.0,38/40,0,1,0
77,57.5,23/40,0,1,0
79,92.5,37/40,0,1,0
80,82.5,33/40,0,1,0
