instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,58.21,23,67,39,23,39/67,45.95,71.43,42.86,100.0,100.0
10,55.22,27,67,37,27,37/67,45.95,64.29,71.43,80.0,50.0
2,56.72,24,67,38,24,38/67,45.95,64.29,57.14,100.0,75.0
3,58.21,23,67,39,23,39/67,45.95,78.57,42.86,100.0,75.0
4,52.24,23,67,35,22,35/67,40.54,71.43,42.86,80.0,75.0
5,53.73,23,67,36,23,36/67,37.84,85.71,57.14,100.0,25.0
6,56.72,26,67,38,26,38/67,45.95,85.71,42.86,80.0,50.0
7,49.25,28,67,33,27,33/67,37.84,92.86,28.57,80.0,0.0
8,50.75,28,67,34,28,34/67,43.24,64.29,71.43,80.0,0.0
9,52.24,27,67,35,27,35/67,45.95,64.29,71.43,60.0,25.0
