Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct
1,60.0,6/10,0,0
2,60.0,6/10,2,1
3,20.0,2/10,3,0
4,40.0,4/10,2,1
6,100.0,10/10,0,1
8,50.0,5/10,1,1
9,20.0,2/10,4,1
10,40.0,4/10,0,0
11,30.0,3/10,1,1
12,60.0,6/10,0,1
13,30.0,3/10,3,0
14,30.0,3/10,1,0
15,10.0,1/10,2,0
16,40.0,4/10,0,0
17,30.0,3/10,2,0
18,0.0,0/10,7,0
19,60.0,6/10,0,0
20,60.0,6/10,1,0
21,20.0,2/10,0,0
22,10.0,1/10,7,0
23,50.0,5/10,1,1
24,20.0,2/10,1,0
25,60.0,6/10,0,1
26,30.0,3/10,0,0
27,50.0,5/10,0,1
28,50.0,5/10,0,0
29,60.0,6/10,1,0
30,10.0,1/10,0,1
31,50.0,5/10,3,0
32,80.0,8/10,0,1
34,30.0,3/10,0,0
35,20.0,2/10,2,0
36,90.0,9/10,0,0
37,30.0,3/10,2,0
38,30.0,3/10,5,1
39,40.0,4/10,0,0
40,10.0,1/10,4,0
41,90.0,9/10,0,1
42,30.0,3/10,2,0
45,40.0,4/10,0,0
46,80.0,8/10,0,0
47,20.0,2/10,5,0
48,20.0,2/10,4,0
49,20.0,2/10,7,0
50,50.0,5/10,2,0
51,20.0,2/10,1,0
52,0.0,0/10,10,0
55,20.0,2/10,4,0
56,30.0,3/10,0,0
59,50.0,5/10,5,0
60,10.0,1/10,2,0
61,0.0,0/10,7,0
63,30.0,3/10,4,1
64,30.0,3/10,0,0
65,40.0,4/10,0,1
66,50.0,5/10,0,0
67,40.0,4/10,0,0
69,10.0,1/10,2,0
70,30.0,3/10,2,1
71,70.0,7/10,1,1
72,30.0,3/10,1,0
74,10.0,1/10,4,0
75,20.0,2/10,1,0
76,30.0,3/10,0,0
77,20.0,2/10,1,0
79,70.0,7/10,1,1
80,0.0,0/10,7,0
