Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,60.0,6/10,0,0,0
2,60.0,6/10,1,1,0
3,20.0,2/10,0,0,0
4,40.0,4/10,2,1,0
6,100.0,10/10,0,1,0
8,50.0,5/10,0,1,0
9,30.0,3/10,1,1,0
10,40.0,4/10,0,0,0
11,30.0,3/10,1,1,0
12,60.0,6/10,0,1,0
13,30.0,3/10,2,0,0
14,30.0,3/10,1,0,0
15,10.0,1/10,1,0,0
16,40.0,4/10,0,0,0
17,30.0,3/10,2,0,0
18,0.0,0/10,2,0,0
19,60.0,6/10,0,0,0
20,60.0,6/10,0,0,0
21,20.0,2/10,0,0,0
22,10.0,1/10,2,1,0
23,50.0,5/10,0,1,0
24,20.0,2/10,0,0,0
25,60.0,6/10,0,1,0
26,30.0,3/10,0,0,0
27,50.0,5/10,0,1,0
28,50.0,5/10,0,0,0
29,60.0,6/10,0,0,0
30,10.0,1/10,0,1,0
31,50.0,5/10,0,0,0
32,80.0,8/10,0,1,0
34,30.0,3/10,0,0,0
35,20.0,2/10,1,0,0
36,90.0,9/10,0,0,0
37,30.0,3/10,1,0,0
38,40.0,4/10,2,1,0
39,40.0,4/10,0,0,0
40,10.0,1/10,1,0,0
41,90.0,9/10,0,1,0
42,40.0,4/10,0,0,0
45,40.0,4/10,0,0,0
46,80.0,8/10,0,0,0
47,20.0,2/10,2,0,0
48,20.0,2/10,3,0,0
49,20.0,2/10,7,0,0
50,50.0,5/10,1,0,0
51,20.0,2/10,0,0,0
52,0.0,0/10,10,0,10
55,30.0,3/10,2,0,2
56,30.0,3/10,0,0,0
59,60.0,6/10,3,0,0
60,20.0,2/10,1,0,0
61,20.0,2/10,3,0,0
63,30.0,3/10,2,1,0
64,30.0,3/10,0,0,0
65,40.0,4/10,0,1,0
66,50.0,5/10,0,0,0
67,40.0,4/10,0,0,0
69,20.0,2/10,0,0,0
70,30.0,3/10,2,1,0
71,70.0,7/10,1,1,0
72,30.0,3/10,0,0,0
74,0.0,0/10,4,0,0
75,30.0,3/10,0,0,0
76,30.0,3/10,0,0,0
77,30.0,3/10,0,0,0
79,70.0,7/10,1,1,0
80,20.0,2/10,3,0,0
