model,instance_count,acc_mean,acc_sigma,no_answer_count,original_question_diff,error_count,Hydrology_correct_rate,Atmospheric_Dynamics_correct_rate,Atmospheric_Physics_correct_rate,Geophysics_correct_rate,Physical_Oceanography_correct_rate
GPT-4o,10,58.81,5.37,3,3.88,0,72.0,51.35,74.28,60.0,55.0
GPT-o1,10,87.31,3.32,0,6.72,0,100.0,82.7,92.14,92.86,87.5
GPT-4o-mini,10,45.67,4.78,1,0.6,0,48.0,42.16,58.57,40.0,40.0
Deepseek-v3-8K,10,64.63,5.93,7,5.52,0,96.0,57.3,73.57,64.28,62.5
Deepseek-V3-8K,10,64.63,5.93,7,5.52,0,96.0,57.3,73.57,64.28,62.5
Deepseek_R1,10,89.4,3.48,0,3.14,0,98.0,85.68,95.0,95.71,82.5
Deepseek_R1_original_precision,10,88.21,3.48,0,4.33,0,98.0,85.68,91.43,92.85,80.0
QwQ-32B-Preview_8K,10,68.66,4.93,13,1.49,0,84.0,60.0,88.57,74.28,50.0
QwQ-32B-Preview_16K,10,71.64,4.34,1,2.99,0,82.0,63.51,88.57,78.57,62.5
QwQ-32B-Preview_32K,10,71.79,4.42,5,7.31,0,88.0,63.24,89.29,77.14,60.0
QwQ-32B-Preview_32K_original_precision,10,68.95,4.76,0,4.18,0,82.0,61.62,87.14,74.29,47.5
QwQ-32B-Preview_4K,10,56.72,4.61,98,2.98,0,76.0,48.11,77.14,52.86,47.5
QwQ-32B-Preview_32K_ultra_precision,10,71.34,4.03,3,3.29,0,96.0,61.08,87.86,80.0,62.5
Llama-3.3-70B-Instruct,10,52.42,4.13,15,-5.45,10,80.0,43.21,67.14,51.91,52.5
Llama-3.1-405B-Instruct-Turbo,10,55.52,6.17,0,7.17,0,72.0,48.92,64.29,57.14,62.5
Qwen2.5-3B-Instruct,10,32.09,7.71,2,-11.19,0,46.0,29.19,34.28,30.0,37.5
Qwen2.5-7B-Instruct,10,44.78,5.12,3,-1.5,0,62.0,38.92,51.43,51.43,42.5
Qwen2.5-32B-Instruct,10,53.73,6.05,30,-1.49,30,58.0,47.3,64.28,62.86,55.0
Qwen2.5-72B-Instruct-Turbo,10,57.61,4.73,18,8.06,0,72.0,50.0,77.86,44.29,62.5
Qwen2.5-Math-1.5B-Instruct,10,30.6,2.84,59,-0.75,0,50.0,30.0,23.57,34.29,30.0
Qwen2.5-Math-7B-Instruct,10,35.67,6.07,100,-7.31,0,54.0,31.62,39.28,35.71,37.5
Qwen2.5-Math-72B-Instruct,10,59.85,6.27,11,11.79,0,70.0,54.87,73.57,62.86,40.0
deepseek-math-7b-rl,10,24.63,4.63,257,-3.73,0,22.0,22.43,27.86,24.29,37.5
deepseek-math-7b-instruct,10,31.04,4.03,34,-2.68,0,36.0,28.38,33.57,30.0,42.5
gemini-2.0-flash-thinking-exp-01-21_8K,10,54.33,3.16,252,3.88,250,86.0,43.52,74.29,52.86,47.5
gemini-2.0-flash-thinking-exp-01-21_30K,10,82.69,3.87,5,3.88,5,100.0,78.11,85.0,91.43,80.0
gemini-2.0-flash-thinking-exp-12-19_8K,10,73.43,4.55,26,-3.28,25,90.0,67.57,82.86,75.71,70.0
gemini-2.0-flash-exp,10,64.93,4.29,1,3.73,0,90.0,58.11,68.57,77.14,62.5
gemini-2.0-flash-thinking-exp-01-21_30K-original-precision,10,84.03,4.51,0,8.51,0,94.0,81.08,91.43,84.28,72.5
gemini-2.0-flash-thinking-exp-01-21_30K-ultra-precision,10,81.19,3.39,0,6.87,0,96.0,79.73,90.0,78.57,50.0
gemma-2-9b-it,10,18.51,3.46,285,-3.58,0,30.0,17.03,21.43,11.43,20.0
gemma-2-27b-it,10,38.21,5.46,65,-8.36,12,56.0,30.81,47.86,41.43,45.0
climategpt-7b_4K,10,19.85,5.03,140,-4.92,0,26.0,18.65,21.43,11.43,32.5
climategpt-70b,10,27.91,4.45,82,-5.52,0,24.0,25.4,30.0,40.0,27.5
Qwen2.5-7B-Instruct-original-precision,10,43.58,3.84,1,-0.3,0,58.0,40.54,45.0,44.28,47.5
Qwen2.5-7B-Instruct-ultra-precision,10,38.51,6.56,3,-7.17,0,58.0,37.57,35.71,34.29,40.0
Qwen2.5-Math-7B-Instruct-original-precision,10,36.12,4.03,115,-3.28,0,60.0,32.43,33.57,42.86,37.5
Qwen2.5-Math-7B-Instruct-ultra-precision,10,35.82,4.1,88,1.49,0,48.0,33.51,40.0,34.29,30.0
