answer,correct_option,id,options,problem,type
7.094 m^3/s,C,MCQ_81_1,"['15.925 m^3/s', '0.001 m^3/s', '7.094 m^3/s', '93.928 m^3/s']","Consider a rectangular open channel with a width of 3.0 meters that transports water at a depth of 1.2 meters. Given that the channel slope is 0.0015 and Manning's roughness coefficient is 0.015, determine the flow rate Q in cubic meters per second. Employ the SI units and use the hydraulic radius R=0.6667 m.",Hydrology
"(a): Upstream: 2.086 m,
over the hump: 1.696 m,
(b): Upstream: 2.0 m,
over the hump: 1.851 m",A,MCQ_82_1,"['(a): Upstream: 2.086 m,\nover the hump: 1.696 m,\n(b): Upstream: 2.0 m,\nover the hump: 1.851 m', '(a): Upstream: 2.47 m,\nover the hump: 2.433 m,\n(b): Upstream: 2.47 m,\nover the hump: 2.453 m', '(a): Upstream: 1.0 m,\nover the hump: 1.368 m,\n(b): Upstream: 1.0 m,\nover the hump: 1.111 m', '(a): Upstream: 4.0 m,\nover the hump: 3.973 m,\n(b): Upstream: 20.978 m,\nover the hump: 20.652 m']",A rectangular channel with a width of 4.0 m conveys a flow rate of 20.0 m³/s at a depth of 2.0 m. There is a plan to build a hump at a certain section. Calculate the water surface levels both upstream from the hump and directly over the hump if the hump's height is a) 0.33 m and b) 0.2 m (assuming no energy loss at the hump).,Hydrology
0.003464 ,C,MCQ_83_1,"['0.010392 ', '0.005109 ', '0.003464 ', '0.006928 ']",Calculate the proportion of centrifugal acceleration to gravitational acceleration at a latitude of 0° on Earth.,Geophysics
"y2: 0.8594 m,
delta_z_critical: 0.1965 m",C,MCQ_84_1,"['y2: -1.3493 m,\ndelta_z_critical: 0.0 m', 'y2: 1.6421 m,\ndelta_z_critical: 1.1949 m', 'y2: 0.8594 m,\ndelta_z_critical: 0.1965 m', 'y2: 1.3156 m,\ndelta_z_critical: 0.4115 m']","Water flowing in a broad channel encounters a hump 0.1 m tall, with an initial velocity of 1.5 m/sec and a depth of 1.0 m. Calculate 
a) The water depth y2 above the hump and 
b) The height of the hump that would make the crest flow critical.",Hydrology
0.02 m,B,MCQ_85_1,"['0.0 m', '0.02 m', '0.06 m', '0.002 m']","A smooth laminar boundary layer begins to form at the sharp leading edge of a propeller blade that is moving at 15.0 m/s relative to the water. Considering that the critical Reynolds number for flat plate turbulence is 300000 based on the distance, x, from the leading edge, where should we expect the transition to turbulence to occur?",Physical Oceanography
"volume_transport_Sv: 50.0 Sv,
heat_transport_PW: 1.0232 PW",A,MCQ_86_1,"['volume_transport_Sv: 50.0 Sv,\nheat_transport_PW: 1.0232 PW', 'volume_transport_Sv: 100.0 Sv,\nheat_transport_PW: 2.0464 PW', 'volume_transport_Sv: 1.58 Sv,\nheat_transport_PW: 0.0485 PW', 'volume_transport_Sv: 75.0 Sv,\nheat_transport_PW: 1.5348 PW']","Warm western boundary currents like the Gulf Stream are crucial to the climate system due to their role in meridional heat transport. The Gulf Stream measures approximately 100 km in width, extends to a depth of 500 m, and has an average speed of 1.0 m/s.

a. Estimate the volume transport of the Gulf Stream (in Sv).

b. Estimate the temperature difference (ΔT = 5.0 °C) and the meridional heat transport linked with the Gulf Stream.",Physical Oceanography
"direction: north ,
Rossby_deformation_radius: 960432.59 m,
time_to_propagate: 10096.38 s",A,MCQ_87_1,"['direction: north ,\nRossby_deformation_radius: 960432.59 m,\ntime_to_propagate: 10096.38 s', 'direction: north ,\nRossby_deformation_radius: 1754359.57 m,\ntime_to_propagate: 59701.67 s', 'direction: north ,\nRossby_deformation_radius: 960432.59 m,\ntime_to_propagate: 30289.13 s', 'direction: north ,\nRossby_deformation_radius: 1920865.19 m,\ntime_to_propagate: 20192.75 s']","In midlatitude regions, Kelvin waves travel along coastlines.

a. Which direction (north or south) do these waves travel if they move along the European Atlantic coast?

b. Compute the Rossby deformation radius for such a wave at 45.0°.

c. Find the time τ required for a Kelvin wave to travel a distance of 1000.0 km.

Assume a Kelvin wave is moving through a water layer with a thickness of H₀=1000.0 m.",Physical Oceanography
0.1087 ,D,MCQ_88_1,"['10.8696 ', '0.0515 ', '0.2174 ', '0.1087 ']","Determine the Ekman number for the Gulf Stream, using typical values, U=1.0 m s^-1, L=100.0 km, and an approximate eddy viscosity A=100000.0 m^2 s^-1.",Physical Oceanography
397.989 s,D,MCQ_89_1,"['39.799 s', '632.098 s', '1193.967 s', '397.989 s']","A submarine that is neutrally buoyant and stationary is submerged at a depth of 100.0 m at a latitude of 30.0°. Upon hearing an unusual noise to the east, the SONAR operator alerts the captain, who chooses to investigate. With an easterly speed of 10.0 m/s, how much time will pass before the submarine reaches the surface if no adjustments are made to the controls?",Physical Oceanography
0.1597 ,C,MCQ_90_1,"['0.2259 ', '14.2857 ', '0.1597 ', '0.0077 ']","A vessel is navigating an area where deep water waves have a wavelength of 100.0 meters. Considering the vessel's speed is 5.0 m s⁻¹, determine the ship's speed using the Froude number.",Physical Oceanography
"(a): 1000000000.0 m^3,
(b): 264200000000.0 gal",A,MCQ_91_1,"['(a): 1000000000.0 m^3,\n(b): 264200000000.0 gal', '(a): 2500000000.0 m^3,\n(b): 660500000000.0 gal', '(a): 1752660000.0 m^3,\n(b): 463052772000.0 gal', '(a): 2000000000.0 m^3,\n(b): 528400000000.0 gal']","Annually, a precipitation depth of 1.0 meter is recorded over a catchment area measuring 1000 (or $10^{3}$) $\mathrm{km}^{2}$.
(a) Calculate the total volume of water received in an average year in cubic meters.
(b) Convert this volume into gallons.",Hydrology
11811.0 yrs,A,MCQ_92_1,"['11811.0 yrs', '16665.0 yrs', '23622.0 yrs', '5249.0 yrs']","The polar ice caps, which cover an area of 16000000.0 km^2, are thought to hold a total equivalent volume of 24000000.0 km^3 of liquid water. With the average yearly precipitation over these ice caps estimated at 5.0 inches, calculate the residence time of water in the polar ice caps, assuming the volume does not change over time.",Hydrology
"(a): 1750000.0 m^3,
(b): 583.33 mm,
(c): 0.386 ",D,MCQ_93_1,"['(a): 9500000.0 m^3,\n(b): 950.0 mm,\n(c): 0.2083 ', '(a): 1750000.0 m^3,\n(b): 1.84 mm,\n(c): 0.386 ', '(a): 7450000.0 m^3,\n(b): 2483.33 mm,\n(c): 0.1287 ', '(a): 1750000.0 m^3,\n(b): 583.33 mm,\n(c): 0.386 ']","In a typical year, a small agricultural catchment with an 3.0 km² area receives 950.0 mm of rainfall. The catchment is drained by a stream with continuous discharge records. The total annual surface-water runoff, as derived from the stream discharge data, amounts to 1100000.0 m³.
(a) Compute the annual volume of water lost to evapotranspiration in cubic meters, assuming there is no change in water storage in the catchment.
(b) Find the depth of water lost to evapotranspiration over the year in millimeters, assuming once more no change in water storage within the catchment.
(c) Calculate the runoff ratio (runoff over precipitation) for the catchment.",Hydrology
"(a): 0.792 mm/hr,
0.708 mm/hr,
(b): 4.5 mm/hr,
4.0 mm/hr,
(c): 2.67 mm/hr,
2.33 mm/hr,
(d): 8205120.0 m^3",D,MCQ_94_1,"['(a): 0.079 mm/hr,\n0.708 mm/hr,\n(b): 8.55 mm/hr,\n7.65 mm/hr,\n(c): 2.95 mm/hr,\n2.62 mm/hr,\n(d): 430769.0 m^3', '(a): 1.013 mm/hr,\n1.346 mm/hr,\n(b): 2.0 mm/hr,\n2.3 mm/hr,\n(c): 1.71 mm/hr,\n1.93 mm/hr,\n(d): 25517857.0 m^3', '(a): 0.0 mm/hr,\n0.708 mm/hr,\n(b): 9.5 mm/hr,\n8.5 mm/hr,\n(c): 2.5 mm/hr,\n3.0 mm/hr,\n(d): 22015.0 m^3', '(a): 0.792 mm/hr,\n0.708 mm/hr,\n(b): 4.5 mm/hr,\n4.0 mm/hr,\n(c): 2.67 mm/hr,\n2.33 mm/hr,\n(d): 8205120.0 m^3']","Two tipping bucket rain gauges are utilized to record the following rainfall data:

| Time | Cumulative precipitation (mm) at Station#1 | Cumulative precipitation (mm) at Station#2 |
| :--- | :--- | :--- |
| 4:00 a.m. | 0.0 | 0.0 |
| 6:00 a.m. | 0.0 | 0.0 |
| 8:00 a.m. | 1.0 | 1.0 |
| 10:00 a.m. | 4.0 | 3.0 |
| 12:00 noon | 13.0 | 11.0 |
| 2:00 p.m. | 17.0 | 15.0 |
| 4:00 p.m. | 19.0 | 16.0 |
| 6:00 p.m. | 19.0 | 17.0 |
| 8:00 p.m. | 19.0 | 17.0 |
| 10:00 p.m. | 19.0 | 17.0 |
| 12:00 midnight | 19.0 | 17.0 |
| 2:00 a.m. | 19.0 | 17.0 |
| 4:00 a.m. | 19.0 | 17.0 |

(a) Determine the average daily rainfall intensity for each station (mm/hr).
(b) Determine the peak 2-hour rainfall intensity for each station (mm/hr).
(c) Determine the peak 6-hour rainfall intensity for each station (mm/hr).
(d) Using the arithmetic mean method and given that the drainage basin covers an area of 176 mi², compute the total rainfall volume (m³) that reached the basin during the event.",Hydrology
"(a): cross_sectional_area_m2: 1.14 m^2,
total_storage_volume_m3: 0.29 m^3,
(b): 33.11 mm,
(c): 37.74 kg,
(d): 0.1 mm/hr,
(e): 0.11 mm/hr,
(f): 15.03 days",D,MCQ_95_1,"['(a): cross_sectional_area_m2: 0.79 m^2,\ntotal_storage_volume_m3: 0.14 m^3,\n(b): 38.3 mm,\n(c): 30.14 kg,\n(d): 0.4 mm/hr,\n(e): 4.4 mm/hr,\n(f): 0.43 days', '(a): cross_sectional_area_m2: 0.01 m^2,\ntotal_storage_volume_m3: 0.0 m^3,\n(b): 331.07 mm,\n(c): 0.38 kg,\n(d): 10.35 mm/hr,\n(e): -20.66 mm/hr,\n(f): -0.77 days', '(a): cross_sectional_area_m2: 0.0 m^2,\ntotal_storage_volume_m3: 0.0 m^3,\n(b): 13744.42 mm,\n(c): 43.4 kg,\n(d): 213.87 mm/hr,\n(e): -312.57 mm/hr,\n(f): -3.82 days', '(a): cross_sectional_area_m2: 1.14 m^2,\ntotal_storage_volume_m3: 0.29 m^3,\n(b): 33.11 mm,\n(c): 37.74 kg,\n(d): 0.1 mm/hr,\n(e): 0.11 mm/hr,\n(f): 15.03 days']","Estimating potential evapotranspiration through the measurement of water volume changes in an evaporation pan is a common method. United States Class A evaporation pans are cylindrical and have the following dimensions: depth = 10.0 inches and diameter = 47.5 inches. An evaporation pan acts as a hydrological system with inflow, outflow, and storage volume components.

(a) Determine the cross-sectional area (m^2) of a United States Class A evaporation pan that allows water inflows and outflows. Also, compute the total storage volume of the pan (m^3).

(b) Initially, the pan holds 10.0 U.S. gallons of water. Find the depth of the water in the pan (mm).

(c) Given a water density of 997.07 kg/m^3, calculate the mass (kg) of water contained in the pan.

(d) After 24 hours in an open area (without precipitation), the pan is inspected, revealing a remaining water volume of 9.25 gallons. Calculate the average evaporation rate (mm/hr) from the pan.

(e) The pan is emptied and refilled with 10.0 gallons of water, then left in an open area for another 24 hours. During this time, rain occurred for 3 hours at a steady rate of 2.5 mm/hr; after 24 hours, the water volume in the pan was 11.5 gallons. Determine the average evaporation rate (mm/hr) from the pan during this interval.

(f) Assuming the evaporation rate derived in E remains constant and no further precipitation takes place, estimate the duration (days) required for the pan to become empty due to evaporation.",Hydrology
